sampleName	fileName	tissue	condition	group	label
C1_htseq_gene_counts.txt	C1_htseq_gene_counts.txt	eye	control	eye_control	Eye_Control_1
C1S1_htseq_gene_counts.txt	C1S1_htseq_gene_counts.txt	tail	control	tail_control	Tail_Control_1
C2S2_htseq_gene_counts.txt	C2S2_htseq_gene_counts.txt	tail	control	tail_control	Tail_Control_2
C3S3_htseq_gene_counts.txt	C3S3_htseq_gene_counts.txt	tail	control	tail_control	Tail_Control_3
C4_htseq_gene_counts.txt	C4_htseq_gene_counts.txt	eye	control	eye_control	Eye_Control_2
C4S4_htseq_gene_counts.txt	C4S4_htseq_gene_counts.txt	tail	control	tail_control	Tail_Control_4
C5_htseq_gene_counts.txt	C5_htseq_gene_counts.txt	eye	control	eye_control	Eye_Control_3
C8_htseq_gene_counts.txt	C8_htseq_gene_counts.txt	eye	control	eye_control	Eye_Control_4
dcrep1_htseq_gene_counts.txt	dcrep1_htseq_gene_counts.txt	bodywall	control	bodywall_control	Bodywall_Control_1
dcrep2_htseq_gene_counts.txt	dcrep2_htseq_gene_counts.txt	bodywall	control	bodywall_control	Bodywall_Control_2
dcrep3_htseq_gene_counts.txt	dcrep3_htseq_gene_counts.txt	bodywall	control	bodywall_control	Bodywall_Control_3
dcrep4_htseq_gene_counts.txt	dcrep4_htseq_gene_counts.txt	bodywall	control	bodywall_control	Bodywall_Control_4
dcrep6_htseq_gene_counts.txt	dcrep6_htseq_gene_counts.txt	bodywall	control	bodywall_control	Bodywall_Control_5
fungicide_l0a.Aligned.out.bam_htseq_gene_counts.txt	fungicide_l0a.Aligned.out.bam_htseq_gene_counts.txt	bodywall	control	bodywall_control	Bodywall_Control_6
fungicide_l0b.Aligned.out.bam_htseq_gene_counts.txt	fungicide_l0b.Aligned.out.bam_htseq_gene_counts.txt	bodywall	control	bodywall_control	Bodywall_Control_7
fungicide_l0c.Aligned.out.bam_htseq_gene_counts.txt	fungicide_l0c.Aligned.out.bam_htseq_gene_counts.txt	bodywall	control	bodywall_control	Bodywall_Control_8
fungicide_l0d.Aligned.out.bam_htseq_gene_counts.txt	fungicide_l0d.Aligned.out.bam_htseq_gene_counts.txt	bodywall	control	bodywall_control	Bodywall_Control_9
fungicide_l30a.Aligned.out.bam_htseq_gene_counts.txt	fungicide_l30a.Aligned.out.bam_htseq_gene_counts.txt	bodywall	fungicide	bodywall_fungicide	Bodywall_Fungicide_1
fungicide_l30b.Aligned.out.bam_htseq_gene_counts.txt	fungicide_l30b.Aligned.out.bam_htseq_gene_counts.txt	bodywall	fungicide	bodywall_fungicide	Bodywall_Fungicide_2
