gene_id	mean_beta	n_cpgs	expression
LOC_00005583	0.0032265703963034	1115	1.21344579199073
XLOC_013414U_lncRNA	0.0891304066304066	15	5.37939367179596
LOC_00005584	0.813574194982649	385	7.31806839741394
LOC_00005585	0.00235385608607442	379	2.69678211798729
LOC_00005587	0.623850665712461	118	5.50324553717022
LOC_00005588	0.766181594263863	73	7.1238785821769
LOC_00005589	0.00612007030251013	56	7.33703904660047
LOC_00005590	0.878750681210561	151	5.17425720324707
LOC_00005591	0.88057414081432	362	7.25772590531214
LOC_00005592	0.9037820076839	497	5.85039239998983
LOC_00005593	0.00257306000851185	106	1.50775675702482
LOC_00005594	0.902197197495785	583	9.01479837927254
LOC_00005595	0.845907621501758	405	5.60157465369903
LOC_00005597	0.0024776337554053	193	7.11436026488013
LOC_00005598	0.900440288984492	553	9.48477305877992
XLOC_013424U_lncRNA	0.00692565786729525	280	1.61143594798
LOC_00005599	0.789087927512571	521	5.92728857589667
LOC_00005600	0.875827436505441	971	5.43485417497928
LOC_00005601	0.8506880719946	1229	8.42939491560735
LOC_00005602	0.850552138099307	215	5.5926839307476
LOC_00005603	0.853416855774183	229	7.27769138677974
XLOC_013428U_lncRNA	0.786313214884751	261	6.69498277620547
LOC_00005604	0.521345326667299	585	6.59991745606892
LOC_00005605	0.000801282051282051	24	2.09018039013852
LOC_00005606	0.909132965964742	439	10.2730418344865
LOC_00005608	0.586924643309917	269	8.57639212304708
XLOC_012359U_lncRNA	0.0114946875087803	23	1.09280861094291
LOC_00005609	0.0141099771225237	276	0.932623939810295
LOC_00005610	0.675376489075588	86	5.75570904981351
LOC_00005611	0.00210026022020981	128	0.932623939810295
LOC_00005612	0.8688642271734	339	6.62474918380232
LOC_00005613	0.00325958912149972	71	6.31927253915698
LOC_00005615	0.584299863937695	100	9.42960703217048
LOC_00005616	0.00307539682539683	24	6.42081026982029
LOC_00005617	0.0135311446268737	146	3.47224556973862
LOC_00005618	0.00375980392156863	25	4.98080406925252
LOC_00005619	0.0208780569189671	505	4.78433165866177
LOC_00005623	0.517708099820812	387	7.38862272721601
LOC_00005624	0.634422567643187	670	12.240775014411
LOC_00005627	0.910808398334948	292	10.4052575756505
LOC_00005628	0.536281927738242	186	10.0272220882367
LOC_00005629	0.803676591892983	198	8.13687414530911
LOC_00005630	0.629741721299372	196	7.74622846363203
LOC_00005632	0.89313770615312	411	9.36374169618239
LOC_00005631	0.957519725554262	61	6.93985248873346
LOC_00005633	0.88608678875452	296	5.90342489137677
LOC_00005635	0.696141272081286	393	9.75077752820274
LOC_00005636	0.00245535714285714	84	1.30394790320712
LOC_00005637	0.00376143167518739	366	3.72947051100091
LOC_00005638	0.782546745591743	359	5.35336432791381
LOC_00005639	0.836567981261268	217	4.87860186640149
LOC_00005640	0.00389763369702605	534	7.79755964088384
LOC_00005641	0.93131076859735	374	8.08242204105632
LOC_00005642	0.92925581224289	185	8.4737363542149
LOC_00005643	0.00476922229393625	75	5.21344991444091
LOC_00005644	0.850648711721116	542	13.5852856347099
LOC_00005645	0.843376596738795	348	9.13364049398491
LOC_00005646	0.803436329972851	194	6.34438329476886
LOC_00005647	0.810781431862838	514	7.7256922793175
LOC_00005648	0.00233579411616958	293	0.932623939810295
XLOC_012386U_lncRNA	0.382357567304429	48	0.932623939810295
LOC_00005649	0.379966551703322	330	13.2375889518959
LOC_00005650	0.00335236953092594	568	0.932623939810295
LOC_00005651	0.00414547697379408	295	0.932623939810295
LOC_00005652	0.00440232395766734	496	2.89063077749192
