ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0030030	Cell projection organization	144/3102	498/15293	0.289156626506024	1.42555521894153	4.87019649069562	0.00000191379069653387	0.00436022345549403	0.00422474085121224	LOC_00019573/LOC_00024248/LOC_00004276/LOC_00007788/LOC_00024086/LOC_00019183/LOC_00017773/LOC_00007173/LOC_00018161/LOC_00007196/LOC_00008025/LOC_00016775/LOC_00025352/LOC_00013253/LOC_00024470/LOC_00007143/LOC_00012093/LOC_00007011/LOC_00012779/LOC_00006478/LOC_00012915/LOC_00015954/LOC_00011859/LOC_00016959/LOC_00011976/LOC_00017113/LOC_00005075/LOC_00019994/LOC_00018925/LOC_00020803/LOC_00025273/LOC_00006811/LOC_00018822/LOC_00008525/LOC_00010648/LOC_00017118/LOC_00025283/LOC_00010429/LOC_00008323/LOC_00018027/LOC_00020675/LOC_00004756/LOC_00003057/LOC_00015772/LOC_00003930/LOC_00020745/LOC_00006551/LOC_00006972/LOC_00003191/LOC_00007457/LOC_00006919/LOC_00019363/LOC_00018486/LOC_00009602/LOC_00013387/LOC_00021198/LOC_00011803/LOC_00015234/LOC_00008903/LOC_00022869/LOC_00021742/LOC_00019791/LOC_00023049/LOC_00024048/LOC_00006508/LOC_00004895/LOC_00011569/LOC_00015274/LOC_00011087/LOC_00003424/LOC_00020430/LOC_00021457/LOC_00002824/LOC_00007233/LOC_00020222/LOC_00014394/LOC_00012038/LOC_00010598/LOC_00000258/LOC_00017308/LOC_00018702/LOC_00012642/LOC_00006381/LOC_00006805/LOC_00018206/LOC_00018464/LOC_00010218/LOC_00020521/LOC_00002843/LOC_00003827/LOC_00004643/LOC_00008559/LOC_00004465/LOC_00018207/LOC_00007710/LOC_00015571/LOC_00003912/LOC_00025244/LOC_00024929/LOC_00000485/LOC_00017369/LOC_00012006/LOC_00008811/LOC_00006118/LOC_00006538/LOC_00011273/LOC_00006284/LOC_00002890/LOC_00020566/LOC_00006680/LOC_00019585/LOC_00003064/LOC_00025303/LOC_00015620/LOC_00017359/LOC_00018192/LOC_00021790/LOC_00019707/LOC_00008670/LOC_00007428/LOC_00003128/LOC_00023388/LOC_00019003/LOC_00018329/LOC_00011310/LOC_00004282/LOC_00024670/LOC_00009623/LOC_00024795/LOC_00011382/LOC_00010576/LOC_00024503/LOC_00002723/LOC_00021821/LOC_00011349/LOC_00003951/LOC_00016583/LOC_00006189/LOC_00019718/LOC_00004729/LOC_00015260/LOC_00015101/LOC_00000860/LOC_00011069	144
GO:0120036	Plasma membrane bounded cell projection organization	141/3102	488/15293	0.288934426229508	1.42445976154993	4.80701643176323	0.00000255881658186269	0.00436022345549403	0.00422474085121224	LOC_00019573/LOC_00024248/LOC_00004276/LOC_00007788/LOC_00024086/LOC_00019183/LOC_00017773/LOC_00007173/LOC_00018161/LOC_00007196/LOC_00008025/LOC_00016775/LOC_00025352/LOC_00013253/LOC_00024470/LOC_00007143/LOC_00012093/LOC_00007011/LOC_00012779/LOC_00006478/LOC_00012915/LOC_00015954/LOC_00011859/LOC_00016959/LOC_00011976/LOC_00017113/LOC_00005075/LOC_00019994/LOC_00018925/LOC_00020803/LOC_00025273/LOC_00006811/LOC_00018822/LOC_00008525/LOC_00017118/LOC_00025283/LOC_00010429/LOC_00008323/LOC_00018027/LOC_00020675/LOC_00004756/LOC_00003057/LOC_00015772/LOC_00003930/LOC_00020745/LOC_00006551/LOC_00006972/LOC_00003191/LOC_00007457/LOC_00006919/LOC_00019363/LOC_00018486/LOC_00009602/LOC_00013387/LOC_00021198/LOC_00011803/LOC_00015234/LOC_00008903/LOC_00022869/LOC_00021742/LOC_00019791/LOC_00023049/LOC_00024048/LOC_00006508/LOC_00004895/LOC_00011569/LOC_00015274/LOC_00011087/LOC_00003424/LOC_00020430/LOC_00021457/LOC_00002824/LOC_00007233/LOC_00020222/LOC_00014394/LOC_00012038/LOC_00010598/LOC_00000258/LOC_00018702/LOC_00012642/LOC_00006381/LOC_00006805/LOC_00018206/LOC_00018464/LOC_00010218/LOC_00020521/LOC_00002843/LOC_00003827/LOC_00004643/LOC_00008559/LOC_00004465/LOC_00018207/LOC_00007710/LOC_00015571/LOC_00025244/LOC_00024929/LOC_00000485/LOC_00017369/LOC_00012006/LOC_00008811/LOC_00006118/LOC_00006538/LOC_00011273/LOC_00006284/LOC_00002890/LOC_00020566/LOC_00006680/LOC_00019585/LOC_00003064/LOC_00025303/LOC_00015620/LOC_00017359/LOC_00018192/LOC_00021790/LOC_00019707/LOC_00008670/LOC_00007428/LOC_00003128/LOC_00023388/LOC_00019003/LOC_00018329/LOC_00011310/LOC_00004282/LOC_00024670/LOC_00009623/LOC_00024795/LOC_00011382/LOC_00010576/LOC_00024503/LOC_00002723/LOC_00021821/LOC_00011349/LOC_00003951/LOC_00016583/LOC_00006189/LOC_00019718/LOC_00004729/LOC_00015260/LOC_00015101/LOC_00000860/LOC_00011069	141
GO:0030036	Actin cytoskeleton organization	79/3102	248/15293	0.318548387096774	1.57045792516795	4.5686378994524	0.0000102505332999424	0.0116446058287346	0.0112827799866384	LOC_00005872/LOC_00000369/LOC_00011709/LOC_00011564/LOC_00025352/LOC_00011885/LOC_00000057/LOC_00025440/LOC_00018873/LOC_00004815/LOC_00010105/LOC_00025333/LOC_00024874/LOC_00004606/LOC_00016959/LOC_00020198/LOC_00015773/LOC_00003851/LOC_00018027/LOC_00003113/LOC_00013754/LOC_00020147/LOC_00005184/LOC_00015772/LOC_00024975/LOC_00006551/LOC_00023909/LOC_00019922/LOC_00018486/LOC_00012829/LOC_00008898/LOC_00012479/LOC_00017164/LOC_00016157/LOC_00003952/LOC_00006464/LOC_00024551/LOC_00008583/LOC_00012945/LOC_00007851/LOC_00022737/LOC_00007479/LOC_00007542/LOC_00025749/LOC_00016121/LOC_00011087/LOC_00011620/LOC_00021457/LOC_00020174/LOC_00025000/LOC_00002835/LOC_00014385/LOC_00012254/LOC_00000258/LOC_00004586/LOC_00012442/LOC_00010722/LOC_00019484/LOC_00025734/LOC_00018733/LOC_00011716/LOC_00010004/LOC_00021729/LOC_00008584/LOC_00021368/LOC_00003470/LOC_00007649/LOC_00024983/LOC_00020566/LOC_00023900/LOC_00020826/LOC_00012269/LOC_00018886/LOC_00024795/LOC_00015750/LOC_00023896/LOC_00002786/LOC_00018336/LOC_00014042	79
GO:0007169	Transmembrane receptor protein tyrosine kinase signaling pathway	46/3102	128/15293	0.359375	1.7717349693746	4.42267812208268	0.0000272654354057391	0.0205083222952422	0.0198710795157446	LOC_00006777/LOC_00012342/LOC_00010105/LOC_00003606/LOC_00021255/LOC_00006385/LOC_00016914/LOC_00006811/LOC_00017118/LOC_00000192/LOC_00020675/LOC_00021474/LOC_00002998/LOC_00002735/LOC_00012717/LOC_00016771/LOC_00012940/LOC_00003774/LOC_00019921/LOC_00002668/LOC_00017321/LOC_00008800/LOC_00003446/LOC_00022831/LOC_00013221/LOC_00012548/LOC_00014095/LOC_00021640/LOC_00017461/LOC_00003064/LOC_00025819/LOC_00024429/LOC_00004846/LOC_00021790/LOC_00019103/LOC_00010887/LOC_00012270/LOC_00025101/LOC_00020398/LOC_00020485/LOC_00018098/LOC_00012485/LOC_00023089/LOC_00006969/LOC_00014042/LOC_00011069	46
GO:0120254	Olefinic compound metabolic process	15/3102	26/15293	0.576923076923077	2.84425680702276	4.74749583117872	0.0000305733105849149	0.0205083222952422	0.0198710795157446	LOC_00004263/LOC_00025319/LOC_00025252/LOC_00025492/LOC_00014654/LOC_00004005/LOC_00016292/LOC_00018646/LOC_00019508/LOC_00015897/LOC_00009497/LOC_00000206/LOC_00023638/LOC_00014435/LOC_00011840	15
GO:0030029	Actin filament-based process	79/3102	256/15293	0.30859375	1.52138111500645	4.24353760447511	0.000036106201224018	0.0205083222952422	0.0198710795157446	LOC_00005872/LOC_00000369/LOC_00011709/LOC_00011564/LOC_00025352/LOC_00011885/LOC_00000057/LOC_00025440/LOC_00018873/LOC_00004815/LOC_00010105/LOC_00025333/LOC_00024874/LOC_00004606/LOC_00016959/LOC_00020198/LOC_00015773/LOC_00003851/LOC_00018027/LOC_00003113/LOC_00013754/LOC_00020147/LOC_00005184/LOC_00015772/LOC_00024975/LOC_00006551/LOC_00023909/LOC_00019922/LOC_00018486/LOC_00012829/LOC_00008898/LOC_00012479/LOC_00017164/LOC_00016157/LOC_00003952/LOC_00006464/LOC_00024551/LOC_00008583/LOC_00012945/LOC_00007851/LOC_00022737/LOC_00007479/LOC_00007542/LOC_00025749/LOC_00016121/LOC_00011087/LOC_00011620/LOC_00021457/LOC_00020174/LOC_00025000/LOC_00002835/LOC_00014385/LOC_00012254/LOC_00000258/LOC_00004586/LOC_00012442/LOC_00010722/LOC_00019484/LOC_00025734/LOC_00018733/LOC_00011716/LOC_00010004/LOC_00021729/LOC_00008584/LOC_00021368/LOC_00003470/LOC_00007649/LOC_00024983/LOC_00020566/LOC_00023900/LOC_00020826/LOC_00012269/LOC_00018886/LOC_00024795/LOC_00015750/LOC_00023896/LOC_00002786/LOC_00018336/LOC_00014042	79
GO:0031532	Actin cytoskeleton reorganization	9/3102	12/15293	0.75	3.69753384912959	4.71536172465025	0.0000694120985314443	0.0337937759707375	0.0327437222696452	LOC_00010105/LOC_00003113/LOC_00015772/LOC_00012479/LOC_00024551/LOC_00007851/LOC_00004586/LOC_00020566/LOC_00014042	9
GO:1990778	Protein localization to cell periphery	29/3102	74/15293	0.391891891891892	1.93204471395961	4.05408569781516	0.000143265588822523	0.0610311408383948	0.0591347568600335	LOC_00015791/LOC_00012776/LOC_00008154/LOC_00011976/LOC_00018195/LOC_00025273/LOC_00003654/LOC_00007693/LOC_00013991/LOC_00005044/LOC_00017077/LOC_00015234/LOC_00010256/LOC_00025298/LOC_00015274/LOC_00020554/LOC_00018943/LOC_00011252/LOC_00014564/LOC_00011115/LOC_00015571/LOC_00005354/LOC_00025303/LOC_00018483/LOC_00021790/LOC_00004282/LOC_00007412/LOC_00024028/LOC_00015260	29
GO:0000904	Cell morphogenesis involved in differentiation	55/3102	171/15293	0.321637426900585	1.58568703081581	3.88501250849716	0.000161507491920715	0.0611575036073109	0.0592571932345362	LOC_00007788/LOC_00024086/LOC_00017773/LOC_00007173/LOC_00007196/LOC_00021153/LOC_00025352/LOC_00011842/LOC_00019064/LOC_00006478/LOC_00015954/LOC_00011859/LOC_00017113/LOC_00018865/LOC_00017118/LOC_00020675/LOC_00004756/LOC_00003057/LOC_00015772/LOC_00006551/LOC_00007457/LOC_00019363/LOC_00009602/LOC_00022869/LOC_00021742/LOC_00019791/LOC_00003280/LOC_00018262/LOC_00006805/LOC_00018206/LOC_00020521/LOC_00002843/LOC_00003827/LOC_00018207/LOC_00024213/LOC_00007710/LOC_00015571/LOC_00006118/LOC_00006538/LOC_00011273/LOC_00006284/LOC_00009793/LOC_00020566/LOC_00019585/LOC_00025303/LOC_00012635/LOC_00024429/LOC_00019707/LOC_00003128/LOC_00009623/LOC_00024795/LOC_00002723/LOC_00015101/LOC_00000860/LOC_00011069	55
GO:0016477	Cell migration	50/3102	153/15293	0.326797385620915	1.61112586018719	3.83218807552883	0.000203905456052283	0.0694909794226179	0.0673317279616853	LOC_00021298/LOC_00007173/LOC_00011885/LOC_00016597/LOC_00012093/LOC_00019064/LOC_00010105/LOC_00006008/LOC_00014901/LOC_00016959/LOC_00010775/LOC_00006557/LOC_00019118/LOC_00003113/LOC_00015772/LOC_00019199/LOC_00006551/LOC_00023133/LOC_00014544/LOC_00004660/LOC_00007750/LOC_00012479/LOC_00019371/LOC_00013440/LOC_00016445/LOC_00021742/LOC_00019402/LOC_00024573/LOC_00019921/LOC_00003280/LOC_00021016/LOC_00006805/LOC_00007754/LOC_00006694/LOC_00021650/LOC_00005460/LOC_00024213/LOC_00017461/LOC_00014899/LOC_00019949/LOC_00020566/LOC_00024429/LOC_00004629/LOC_00019103/LOC_00003128/LOC_00025101/LOC_00024277/LOC_00020398/LOC_00015101/LOC_00014042	50
