ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0099081	Supramolecular polymer	118/3209	408/15962	0.28921568627451	1.4385979383963	4.50178083241886	0.0000103897371192579	0.00328835179824512	0.00308957972230563	LOC_00015242/LOC_00022883/LOC_00008440/LOC_00011054/LOC_00007196/LOC_00004710/LOC_00016775/LOC_00021153/LOC_00000221/LOC_00009696/LOC_00017381/LOC_00007143/LOC_00017401/LOC_00002683/LOC_00004980/LOC_00014208/LOC_00025204/LOC_00024561/LOC_00006760/LOC_00017810/LOC_00025333/LOC_00025791/LOC_00005827/LOC_00015773/LOC_00012885/LOC_00015208/LOC_00017333/LOC_00011897/LOC_00006811/LOC_00016205/LOC_00019005/LOC_00014446/LOC_00013285/LOC_00003851/LOC_00018341/LOC_00019690/LOC_00005184/LOC_00022558/LOC_00011949/LOC_00024975/LOC_00009213/LOC_00024184/LOC_00010564/LOC_00005471/LOC_00008939/LOC_00006573/LOC_00017164/LOC_00002392/LOC_00013023/LOC_00013387/LOC_00017934/LOC_00010258/LOC_00018614/LOC_00008583/LOC_00005216/LOC_00002433/LOC_00006332/LOC_00003925/LOC_00025217/LOC_00021666/LOC_00006771/LOC_00024945/LOC_00007542/LOC_00025749/LOC_00011569/LOC_00006555/LOC_00015273/LOC_00003938/LOC_00017517/LOC_00013099/LOC_00020657/LOC_00004789/LOC_00025790/LOC_00018561/LOC_00014385/LOC_00023143/LOC_00017402/LOC_00003251/LOC_00006882/LOC_00003446/LOC_00015237/LOC_00004643/LOC_00009220/LOC_00020626/LOC_00026006/LOC_00005460/LOC_00026032/LOC_00012012/LOC_00010147/LOC_00021729/LOC_00023439/LOC_00008584/LOC_00021368/LOC_00017217/LOC_00006055/LOC_00008134/LOC_00007649/LOC_00008032/LOC_00015808/LOC_00012085/LOC_00000464/LOC_00003511/LOC_00011719/LOC_00013793/LOC_00018886/LOC_00024647/LOC_00015750/LOC_00013362/LOC_00018578/LOC_00023896/LOC_00017822/LOC_00018098/LOC_00016044/LOC_00016583/LOC_00005649/LOC_00010012/LOC_00018336/LOC_00017465	118
GO:0099512	Supramolecular fiber	118/3209	408/15962	0.28921568627451	1.4385979383963	4.50178083241886	0.0000103897371192579	0.00328835179824512	0.00308957972230563	LOC_00015242/LOC_00022883/LOC_00008440/LOC_00011054/LOC_00007196/LOC_00004710/LOC_00016775/LOC_00021153/LOC_00000221/LOC_00009696/LOC_00017381/LOC_00007143/LOC_00017401/LOC_00002683/LOC_00004980/LOC_00014208/LOC_00025204/LOC_00024561/LOC_00006760/LOC_00017810/LOC_00025333/LOC_00025791/LOC_00005827/LOC_00015773/LOC_00012885/LOC_00015208/LOC_00017333/LOC_00011897/LOC_00006811/LOC_00016205/LOC_00019005/LOC_00014446/LOC_00013285/LOC_00003851/LOC_00018341/LOC_00019690/LOC_00005184/LOC_00022558/LOC_00011949/LOC_00024975/LOC_00009213/LOC_00024184/LOC_00010564/LOC_00005471/LOC_00008939/LOC_00006573/LOC_00017164/LOC_00002392/LOC_00013023/LOC_00013387/LOC_00017934/LOC_00010258/LOC_00018614/LOC_00008583/LOC_00005216/LOC_00002433/LOC_00006332/LOC_00003925/LOC_00025217/LOC_00021666/LOC_00006771/LOC_00024945/LOC_00007542/LOC_00025749/LOC_00011569/LOC_00006555/LOC_00015273/LOC_00003938/LOC_00017517/LOC_00013099/LOC_00020657/LOC_00004789/LOC_00025790/LOC_00018561/LOC_00014385/LOC_00023143/LOC_00017402/LOC_00003251/LOC_00006882/LOC_00003446/LOC_00015237/LOC_00004643/LOC_00009220/LOC_00020626/LOC_00026006/LOC_00005460/LOC_00026032/LOC_00012012/LOC_00010147/LOC_00021729/LOC_00023439/LOC_00008584/LOC_00021368/LOC_00017217/LOC_00006055/LOC_00008134/LOC_00007649/LOC_00008032/LOC_00015808/LOC_00012085/LOC_00000464/LOC_00003511/LOC_00011719/LOC_00013793/LOC_00018886/LOC_00024647/LOC_00015750/LOC_00013362/LOC_00018578/LOC_00023896/LOC_00017822/LOC_00018098/LOC_00016044/LOC_00016583/LOC_00005649/LOC_00010012/LOC_00018336/LOC_00017465	118
GO:0030055	Cell-substrate junction	24/3209	59/15962	0.406779661016949	2.02337704866081	3.950307257463	0.000235100747893115	0.0407255223300186	0.0382637733706834	LOC_00021298/LOC_00021153/LOC_00010105/LOC_00011859/LOC_00016959/LOC_00006557/LOC_00019909/LOC_00019118/LOC_00002998/LOC_00010956/LOC_00007828/LOC_00019402/LOC_00019268/LOC_00023440/LOC_00011620/LOC_00017402/LOC_00014378/LOC_00006694/LOC_00012548/LOC_00018417/LOC_00019949/LOC_00008032/LOC_00003128/LOC_00014042	24
GO:0070161	Anchoring junction	94/3209	335/15962	0.280597014925373	1.39572750147672	3.67188911700592	0.000259527016474588	0.0407255223300186	0.0382637733706834	LOC_00019938/LOC_00021298/LOC_00024086/LOC_00024828/LOC_00017773/LOC_00021153/LOC_00006009/LOC_00024450/LOC_00015023/LOC_00006087/LOC_00015022/LOC_00010105/LOC_00006008/LOC_00023473/LOC_00014303/LOC_00011859/LOC_00016959/LOC_00025073/LOC_00006557/LOC_00019909/LOC_00020046/LOC_00024045/LOC_00024186/LOC_00017104/LOC_00019273/LOC_00009948/LOC_00019118/LOC_00010327/LOC_00012136/LOC_00007264/LOC_00025159/LOC_00024778/LOC_00005184/LOC_00020745/LOC_00018319/LOC_00017766/LOC_00017627/LOC_00014652/LOC_00002998/LOC_00025209/LOC_00010956/LOC_00015541/LOC_00018184/LOC_00019371/LOC_00002735/LOC_00007828/LOC_00020856/LOC_00024551/LOC_00012940/LOC_00015078/LOC_00019402/LOC_00008583/LOC_00019268/LOC_00008715/LOC_00023440/LOC_00011620/LOC_00021457/LOC_00022982/LOC_00022619/LOC_00018959/LOC_00024495/LOC_00019854/LOC_00017402/LOC_00014378/LOC_00011301/LOC_00012642/LOC_00006694/LOC_00012548/LOC_00007709/LOC_00005986/LOC_00018556/LOC_00011667/LOC_00008584/LOC_00024954/LOC_00025391/LOC_00011357/LOC_00000061/LOC_00013918/LOC_00018417/LOC_00019949/LOC_00008032/LOC_00019490/LOC_00003064/LOC_00024720/LOC_00017691/LOC_00021395/LOC_00003128/LOC_00024795/LOC_00018628/LOC_00008616/LOC_00011973/LOC_00000860/LOC_00014042/LOC_00014443	94
GO:0099738	Cell cortex region	11/3209	19/15962	0.578947368421053	2.87976251004576	4.11247706296252	0.000321686590284507	0.0407255223300186	0.0382637733706834	LOC_00015016/LOC_00004710/LOC_00015023/LOC_00006087/LOC_00015022/LOC_00012136/LOC_00006185/LOC_00011716/LOC_00012012/LOC_00019747/LOC_00013691	11
GO:0005925	Focal adhesion	23/3209	58/15962	0.396551724137931	1.97250190735109	3.72185974012521	0.000487249729471971	0.0458869547030898	0.0431132109540962	LOC_00021298/LOC_00021153/LOC_00010105/LOC_00016959/LOC_00006557/LOC_00019909/LOC_00019118/LOC_00002998/LOC_00010956/LOC_00007828/LOC_00019402/LOC_00019268/LOC_00023440/LOC_00011620/LOC_00017402/LOC_00014378/LOC_00006694/LOC_00012548/LOC_00018417/LOC_00019949/LOC_00008032/LOC_00003128/LOC_00014042	23
GO:0098862	Cluster of actin-based cell projections	17/3209	38/15962	0.447368421052632	2.22527103048991	3.79320755440271	0.00050743867760131	0.0458869547030898	0.0431132109540962	LOC_00004276/LOC_00008393/LOC_00006478/LOC_00016959/LOC_00006707/LOC_00006710/LOC_00008396/LOC_00008619/LOC_00018406/LOC_00003280/LOC_00024495/LOC_00025734/LOC_00017369/LOC_00020826/LOC_00017341/LOC_00003951/LOC_00019170	17
GO:0030017	Sarcomere	22/3209	56/15962	0.392857142857143	1.95412456038819	3.58779257899024	0.00074537913744791	0.0536457836803975	0.0504030394602554	LOC_00015242/LOC_00008440/LOC_00025791/LOC_00015208/LOC_00005184/LOC_00017164/LOC_00008583/LOC_00003925/LOC_00025217/LOC_00015273/LOC_00004789/LOC_00025790/LOC_00014385/LOC_00015237/LOC_00026006/LOC_00008584/LOC_00007649/LOC_00000464/LOC_00018886/LOC_00023896/LOC_00017822/LOC_00018336	22
GO:0042734	Presynaptic membrane	10/3209	18/15962	0.555555555555556	2.76340846923583	3.75490764358906	0.000943899526541898	0.0536457836803975	0.0504030394602554	LOC_00000302/LOC_00015023/LOC_00006087/LOC_00015022/LOC_00009948/LOC_00012136/LOC_00024660/LOC_00017943/LOC_00018714/LOC_00013918	10
GO:0015629	Actin cytoskeleton	51/3209	168/15962	0.303571428571429	1.51000534211815	3.33343527373386	0.000990651326172052	0.0536457836803975	0.0504030394602554	LOC_00005872/LOC_00015242/LOC_00011709/LOC_00025890/LOC_00010443/LOC_00011564/LOC_00005633/LOC_00005336/LOC_00004815/LOC_00025333/LOC_00016959/LOC_00020803/LOC_00015773/LOC_00011897/LOC_00013285/LOC_00011604/LOC_00003851/LOC_00020147/LOC_00005184/LOC_00024975/LOC_00024184/LOC_00005471/LOC_00018486/LOC_00008898/LOC_00014195/LOC_00003952/LOC_00008583/LOC_00007542/LOC_00006508/LOC_00025749/LOC_00015273/LOC_00018406/LOC_00021457/LOC_00023515/LOC_00014802/LOC_00004187/LOC_00017402/LOC_00015237/LOC_00012357/LOC_00025734/LOC_00014095/LOC_00018733/LOC_00021729/LOC_00008584/LOC_00021368/LOC_00003470/LOC_00008032/LOC_00023900/LOC_00012269/LOC_00015750/LOC_00005649	51
