ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0003779	Actin binding	82/2969	249/14597	0.329317269076305	1.61907853711917	4.97873776115853	0.00000182812079374912	0.00202190159788653	0.00194358105440696	LOC_00005872/LOC_00000369/LOC_00011709/LOC_00023654/LOC_00025890/LOC_00011564/LOC_00007196/LOC_00025352/LOC_00011885/LOC_00005633/LOC_00003039/LOC_00024875/LOC_00002502/LOC_00024031/LOC_00025791/LOC_00024874/LOC_00004606/LOC_00016959/LOC_00020803/LOC_00020198/LOC_00019909/LOC_00015773/LOC_00011897/LOC_00014736/LOC_00011604/LOC_00018027/LOC_00013754/LOC_00020147/LOC_00005184/LOC_00024975/LOC_00005471/LOC_00019922/LOC_00018486/LOC_00012829/LOC_00008898/LOC_00019371/LOC_00007828/LOC_00014195/LOC_00003952/LOC_00018614/LOC_00008583/LOC_00012945/LOC_00003925/LOC_00007542/LOC_00006508/LOC_00016121/LOC_00018406/LOC_00021457/LOC_00020174/LOC_00023515/LOC_00007690/LOC_00014802/LOC_00004187/LOC_00025790/LOC_00014385/LOC_00017402/LOC_00012254/LOC_00000258/LOC_00012442/LOC_00019484/LOC_00012357/LOC_00022786/LOC_00025734/LOC_00014423/LOC_00018733/LOC_00010004/LOC_00021729/LOC_00017369/LOC_00008584/LOC_00021368/LOC_00000061/LOC_00003470/LOC_00008032/LOC_00014424/LOC_00023900/LOC_00021395/LOC_00020826/LOC_00012269/LOC_00018886/LOC_00023896/LOC_00002786/LOC_00000808	82
GO:0030695	GTPase regulator activity	95/2969	317/14597	0.299684542586751	1.47339012062607	4.30580375539102	0.0000254746007103414	0.00939163612854585	0.0090278409534894	LOC_00007192/LOC_00008491/LOC_00015791/LOC_00024248/LOC_00003887/LOC_00018161/LOC_00024850/LOC_00004404/LOC_00009255/LOC_00010191/LOC_00024590/LOC_00014405/LOC_00018873/LOC_00004815/LOC_00018654/LOC_00018946/LOC_00007943/LOC_00011897/LOC_00004869/LOC_00006204/LOC_00008121/LOC_00011710/LOC_00008194/LOC_00014470/LOC_00003113/LOC_00009859/LOC_00014663/LOC_00007745/LOC_00025434/LOC_00023909/LOC_00025936/LOC_00009505/LOC_00008300/LOC_00007457/LOC_00014659/LOC_00012479/LOC_00008298/LOC_00011691/LOC_00014902/LOC_00000980/LOC_00003443/LOC_00018533/LOC_00002903/LOC_00022737/LOC_00025541/LOC_00020995/LOC_00024681/LOC_00020554/LOC_00017450/LOC_00008458/LOC_00022546/LOC_00022982/LOC_00024033/LOC_00025000/LOC_00025608/LOC_00012447/LOC_00009504/LOC_00012577/LOC_00000594/LOC_00020475/LOC_00011438/LOC_00000654/LOC_00005493/LOC_00018206/LOC_00021330/LOC_00006244/LOC_00006873/LOC_00009549/LOC_00006785/LOC_00007671/LOC_00018207/LOC_00011716/LOC_00003910/LOC_00010732/LOC_00009530/LOC_00021177/LOC_00013294/LOC_00024983/LOC_00000100/LOC_00013288/LOC_00016917/LOC_00018536/LOC_00008342/LOC_00024180/LOC_00019057/LOC_00024193/LOC_00007428/LOC_00017910/LOC_00003706/LOC_00014817/LOC_00012387/LOC_00020398/LOC_00022628/LOC_00025779/LOC_00018072	95
GO:0060589	Nucleoside-triphosphatase regulator activity	95/2969	317/14597	0.299684542586751	1.47339012062607	4.30580375539102	0.0000254746007103414	0.00939163612854585	0.0090278409534894	LOC_00007192/LOC_00008491/LOC_00015791/LOC_00024248/LOC_00003887/LOC_00018161/LOC_00024850/LOC_00004404/LOC_00009255/LOC_00010191/LOC_00024590/LOC_00014405/LOC_00018873/LOC_00004815/LOC_00018654/LOC_00018946/LOC_00007943/LOC_00011897/LOC_00004869/LOC_00006204/LOC_00008121/LOC_00011710/LOC_00008194/LOC_00014470/LOC_00003113/LOC_00009859/LOC_00014663/LOC_00007745/LOC_00025434/LOC_00023909/LOC_00025936/LOC_00009505/LOC_00008300/LOC_00007457/LOC_00014659/LOC_00012479/LOC_00008298/LOC_00011691/LOC_00014902/LOC_00000980/LOC_00003443/LOC_00018533/LOC_00002903/LOC_00022737/LOC_00025541/LOC_00020995/LOC_00024681/LOC_00020554/LOC_00017450/LOC_00008458/LOC_00022546/LOC_00022982/LOC_00024033/LOC_00025000/LOC_00025608/LOC_00012447/LOC_00009504/LOC_00012577/LOC_00000594/LOC_00020475/LOC_00011438/LOC_00000654/LOC_00005493/LOC_00018206/LOC_00021330/LOC_00006244/LOC_00006873/LOC_00009549/LOC_00006785/LOC_00007671/LOC_00018207/LOC_00011716/LOC_00003910/LOC_00010732/LOC_00009530/LOC_00021177/LOC_00013294/LOC_00024983/LOC_00000100/LOC_00013288/LOC_00016917/LOC_00018536/LOC_00008342/LOC_00024180/LOC_00019057/LOC_00024193/LOC_00007428/LOC_00017910/LOC_00003706/LOC_00014817/LOC_00012387/LOC_00020398/LOC_00022628/LOC_00025779/LOC_00018072	95
GO:0035497	cAMP response element binding	6/2969	7/14597	0.857142857142857	4.21411730741471	4.29786343925099	0.000407733825843578	0.0963716103515416	0.0926385518749948	LOC_00007999/LOC_00016672/LOC_00017713/LOC_00021727/LOC_00000679/LOC_00009638	6
GO:0000146	Microfilament motor activity	15/2969	31/14597	0.483870967741936	2.3789371896696	3.88351237414312	0.000435676357827946	0.0963716103515416	0.0926385518749948	LOC_00005872/LOC_00023654/LOC_00025890/LOC_00011897/LOC_00011604/LOC_00020147/LOC_00005471/LOC_00018406/LOC_00023515/LOC_00014802/LOC_00004187/LOC_00012357/LOC_00014423/LOC_00014424/LOC_00012269	15
GO:0005201	Extracellular matrix structural constituent	8/2969	12/14597	0.666666666666667	3.27764679465589	3.98835031864814	0.000651745016353401	0.109934368037632	0.105675941484732	LOC_00019064/LOC_00005153/LOC_00011859/LOC_00003057/LOC_00018262/LOC_00014262/LOC_00024213/LOC_00002723	8
GO:0005085	Guanyl-nucleotide exchange factor activity	49/2969	156/14597	0.314102564102564	1.54427589363595	3.45344289708177	0.000695787139478683	0.109934368037632	0.105675941484732	LOC_00007192/LOC_00024248/LOC_00003887/LOC_00018161/LOC_00010191/LOC_00024590/LOC_00014405/LOC_00018873/LOC_00018654/LOC_00007943/LOC_00004869/LOC_00006204/LOC_00008194/LOC_00014470/LOC_00009859/LOC_00007745/LOC_00025434/LOC_00023909/LOC_00025936/LOC_00007457/LOC_00008298/LOC_00014902/LOC_00003443/LOC_00018533/LOC_00020995/LOC_00017450/LOC_00025608/LOC_00000594/LOC_00005493/LOC_00018206/LOC_00021330/LOC_00009549/LOC_00006785/LOC_00007671/LOC_00018207/LOC_00003910/LOC_00010732/LOC_00009530/LOC_00021177/LOC_00024983/LOC_00013288/LOC_00008342/LOC_00024180/LOC_00007428/LOC_00017910/LOC_00003706/LOC_00012387/LOC_00020398/LOC_00022628	49
GO:0051015	Actin filament binding	41/2969	126/14597	0.325396825396825	1.59980379262966	3.41676195705566	0.000847149477683433	0.117118415289735	0.112581706902667	LOC_00005872/LOC_00025890/LOC_00011885/LOC_00025791/LOC_00016959/LOC_00020198/LOC_00019909/LOC_00015773/LOC_00011897/LOC_00011604/LOC_00013754/LOC_00020147/LOC_00024975/LOC_00005471/LOC_00019922/LOC_00018486/LOC_00008898/LOC_00019371/LOC_00007828/LOC_00003925/LOC_00007542/LOC_00006508/LOC_00016121/LOC_00021457/LOC_00023515/LOC_00014802/LOC_00004187/LOC_00025790/LOC_00014385/LOC_00017402/LOC_00025734/LOC_00018733/LOC_00021729/LOC_00017369/LOC_00003470/LOC_00008032/LOC_00023900/LOC_00020826/LOC_00012269/LOC_00018886/LOC_00023896	41
GO:0004016	Adenylate cyclase activity	6/2969	8/14597	0.75	3.68735264398788	3.84172616769266	0.00134828410736921	0.151317335980353	0.145455895441284	LOC_00006175/LOC_00022821/LOC_00006935/LOC_00012184/LOC_00021599/LOC_00013854	6
GO:0004672	Protein kinase activity	127/2969	490/14597	0.259183673469388	1.27426880486112	3.12051759369055	0.00141434347818102	0.151317335980353	0.145455895441284	LOC_00002696/LOC_00003028/LOC_00018826/LOC_00012841/LOC_00005512/LOC_00018834/LOC_00021882/LOC_00006777/LOC_00016362/LOC_00021153/LOC_00025513/LOC_00006462/LOC_00021575/LOC_00015601/LOC_00019424/LOC_00023844/LOC_00016597/LOC_00008281/LOC_00024192/LOC_00007474/LOC_00008319/LOC_00012606/LOC_00015954/LOC_00024608/LOC_00021255/LOC_00018890/LOC_00018475/LOC_00017113/LOC_00006385/LOC_00019695/LOC_00019118/LOC_00017622/LOC_00022993/LOC_00000192/LOC_00020675/LOC_00019253/LOC_00018952/LOC_00021474/LOC_00018585/LOC_00023133/LOC_00025988/LOC_00002998/LOC_00024515/LOC_00007457/LOC_00014544/LOC_00002735/LOC_00019696/LOC_00024166/LOC_00016157/LOC_00012717/LOC_00015950/LOC_00017605/LOC_00012940/LOC_00010723/LOC_00020633/LOC_00000939/LOC_00016054/LOC_00008652/LOC_00005664/LOC_00021399/LOC_00020501/LOC_00000342/LOC_00018624/LOC_00024698/LOC_00018406/LOC_00012912/LOC_00013251/LOC_00002835/LOC_00017321/LOC_00004193/LOC_00014394/LOC_00008721/LOC_00020650/LOC_00021297/LOC_00003615/LOC_00012620/LOC_00004864/LOC_00018206/LOC_00021186/LOC_00011100/LOC_00003236/LOC_00012357/LOC_00002942/LOC_00020521/LOC_00011478/LOC_00006926/LOC_00000940/LOC_00007086/LOC_00022831/LOC_00023881/LOC_00016251/LOC_00012548/LOC_00010195/LOC_00009816/LOC_00003971/LOC_00004504/LOC_00023621/LOC_00019019/LOC_00018201/LOC_00018207/LOC_00007710/LOC_00021640/LOC_00011436/LOC_00024191/LOC_00006648/LOC_00019949/LOC_00025934/LOC_00008444/LOC_00015620/LOC_00021838/LOC_00024429/LOC_00010887/LOC_00008823/LOC_00000014/LOC_00012270/LOC_00004946/LOC_00005245/LOC_00006469/LOC_00008150/LOC_00024503/LOC_00019801/LOC_00005416/LOC_00012485/LOC_00025443/LOC_00023089/LOC_00006969/LOC_00011069	127
