ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
MAP-76002	Platelet activation, signaling and aggregation	57/2356	167/11155	0.341317365269461	1.61604210932973	4.1504540842771	0.0000607691404884225	0.0355711811412929	0.033737470933557	LOC_00018871/LOC_00023844/LOC_00005514/LOC_00026010/LOC_00010105/LOC_00023430/LOC_00008523/LOC_00018890/LOC_00019909/LOC_00015407/LOC_00010199/LOC_00005936/LOC_00000535/LOC_00024732/LOC_00005135/LOC_00019363/LOC_00012829/LOC_00005244/LOC_00017164/LOC_00017411/LOC_00008667/LOC_00010498/LOC_00022869/LOC_00019791/LOC_00023036/LOC_00011375/LOC_00012865/LOC_00008619/LOC_00007413/LOC_00014028/LOC_00000538/LOC_00011594/LOC_00002668/LOC_00017402/LOC_00002644/LOC_00016735/LOC_00018646/LOC_00014440/LOC_00018712/LOC_00007754/LOC_00023966/LOC_00011199/LOC_00009497/LOC_00007649/LOC_00011436/LOC_00008032/LOC_00000206/LOC_00023638/LOC_00023650/LOC_00014435/LOC_00025101/LOC_00002786/LOC_00018336/LOC_00017211/LOC_00013455/LOC_00014042/LOC_00000808	57
MAP-109582	Hemostasis	110/2356	373/11155	0.294906166219839	1.39629808326923	4.02821857985177	0.0000664261085738429	0.0355711811412929	0.033737470933557	LOC_00010031/LOC_00015476/LOC_00011054/LOC_00008471/LOC_00016362/LOC_00000221/LOC_00020507/LOC_00015675/LOC_00024590/LOC_00017381/LOC_00018871/LOC_00017401/LOC_00023844/LOC_00011226/LOC_00005514/LOC_00014208/LOC_00026010/LOC_00010105/LOC_00006478/LOC_00023430/LOC_00012606/LOC_00008523/LOC_00018890/LOC_00016959/LOC_00007103/LOC_00019909/LOC_00015407/LOC_00025273/LOC_00010199/LOC_00005936/LOC_00000535/LOC_00014154/LOC_00011710/LOC_00018862/LOC_00017575/LOC_00024732/LOC_00024660/LOC_00022558/LOC_00005135/LOC_00020216/LOC_00009213/LOC_00021483/LOC_00019363/LOC_00012829/LOC_00005244/LOC_00017164/LOC_00014902/LOC_00017411/LOC_00003557/LOC_00010699/LOC_00008667/LOC_00000932/LOC_00010498/LOC_00022869/LOC_00019791/LOC_00023036/LOC_00011375/LOC_00010310/LOC_00006395/LOC_00006771/LOC_00021335/LOC_00015956/LOC_00012865/LOC_00008619/LOC_00017517/LOC_00015988/LOC_00002922/LOC_00007413/LOC_00014028/LOC_00020657/LOC_00000538/LOC_00011594/LOC_00002668/LOC_00018561/LOC_00017402/LOC_00002644/LOC_00016735/LOC_00018646/LOC_00014440/LOC_00018712/LOC_00003446/LOC_00020532/LOC_00002942/LOC_00007754/LOC_00018714/LOC_00023966/LOC_00011199/LOC_00009497/LOC_00017217/LOC_00007649/LOC_00011436/LOC_00008032/LOC_00000206/LOC_00023638/LOC_00003511/LOC_00023650/LOC_00014435/LOC_00025517/LOC_00004282/LOC_00025101/LOC_00013362/LOC_00020485/LOC_00002786/LOC_00018336/LOC_00017465/LOC_00017211/LOC_00015101/LOC_00013455/LOC_00014042/LOC_00000808	110
MAP-112040	G-protein mediated events	20/2356	44/11155	0.454545454545455	2.15214539280753	3.96226352246421	0.000254916801288945	0.068253973545115	0.0647354508536399	LOC_00008471/LOC_00016362/LOC_00012606/LOC_00003420/LOC_00018862/LOC_00017575/LOC_00006175/LOC_00022821/LOC_00020633/LOC_00016054/LOC_00006935/LOC_00002942/LOC_00012184/LOC_00021599/LOC_00023076/LOC_00009497/LOC_00014435/LOC_00025788/LOC_00013854/LOC_00013455	20
MAP-112043	PLC beta mediated events	20/2356	44/11155	0.454545454545455	2.15214539280753	3.96226352246421	0.000254916801288945	0.068253973545115	0.0647354508536399	LOC_00008471/LOC_00016362/LOC_00012606/LOC_00003420/LOC_00018862/LOC_00017575/LOC_00006175/LOC_00022821/LOC_00020633/LOC_00016054/LOC_00006935/LOC_00002942/LOC_00012184/LOC_00021599/LOC_00023076/LOC_00009497/LOC_00014435/LOC_00025788/LOC_00013854/LOC_00013455	20
MAP-9013148	CDC42 GTPase cycle	24/2356	61/11155	0.39344262295082	1.86284060229898	3.49653366740678	0.000889950850326254	0.147091781734161	0.139509134968269	LOC_00024248/LOC_00024850/LOC_00010191/LOC_00014405/LOC_00018946/LOC_00008121/LOC_00011710/LOC_00014470/LOC_00003113/LOC_00025434/LOC_00019195/LOC_00012479/LOC_00014902/LOC_00022737/LOC_00025749/LOC_00020995/LOC_00022982/LOC_00024033/LOC_00000654/LOC_00010732/LOC_00021368/LOC_00016917/LOC_00018536/LOC_00003706	24
MAP-111996	Ca-dependent events	17/2356	38/11155	0.447368421052632	2.1181641497632	3.57264499604367	0.000915053031923985	0.147091781734161	0.139509134968269	LOC_00008471/LOC_00016362/LOC_00012606/LOC_00018862/LOC_00017575/LOC_00006175/LOC_00022821/LOC_00020633/LOC_00016054/LOC_00006935/LOC_00002942/LOC_00012184/LOC_00021599/LOC_00023076/LOC_00009497/LOC_00014435/LOC_00013854	17
MAP-9013149	RAC1 GTPase cycle	46/2356	143/11155	0.321678321678322	1.52305673952533	3.2573919889348	0.0012780726182991	0.147091781734161	0.139509134968269	LOC_00018161/LOC_00024850/LOC_00010191/LOC_00024590/LOC_00018871/LOC_00000057/LOC_00014405/LOC_00014001/LOC_00006478/LOC_00018946/LOC_00008121/LOC_00011710/LOC_00018027/LOC_00002759/LOC_00025434/LOC_00023859/LOC_00017172/LOC_00010548/LOC_00007457/LOC_00014902/LOC_00020856/LOC_00018614/LOC_00017621/LOC_00025749/LOC_00011087/LOC_00008458/LOC_00022982/LOC_00024033/LOC_00002668/LOC_00014394/LOC_00000258/LOC_00000654/LOC_00018206/LOC_00018902/LOC_00006244/LOC_00018207/LOC_00021368/LOC_00016917/LOC_00018536/LOC_00016304/LOC_00007428/LOC_00017910/LOC_00003706/LOC_00024795/LOC_00024503/LOC_00016583	46
MAP-111885	Opioid Signalling	21/2356	53/11155	0.39622641509434	1.87602107825864	3.30779193212362	0.00164622723290816	0.147091781734161	0.139509134968269	LOC_00008471/LOC_00016362/LOC_00011226/LOC_00012606/LOC_00003420/LOC_00018862/LOC_00017575/LOC_00006175/LOC_00022821/LOC_00020633/LOC_00016054/LOC_00006935/LOC_00002942/LOC_00012184/LOC_00021599/LOC_00023076/LOC_00009497/LOC_00014435/LOC_00025788/LOC_00013854/LOC_00013455	21
MAP-170660	Adenylate cyclase activating pathway	6/2356	8/11155	0.75	3.55103989813243	3.73481890293723	0.00166172744065477	0.147091781734161	0.139509134968269	LOC_00006175/LOC_00022821/LOC_00006935/LOC_00012184/LOC_00021599/LOC_00013854	6
MAP-170670	Adenylate cyclase inhibitory pathway	6/2356	8/11155	0.75	3.55103989813243	3.73481890293723	0.00166172744065477	0.147091781734161	0.139509134968269	LOC_00006175/LOC_00022821/LOC_00006935/LOC_00012184/LOC_00021599/LOC_00013854	6
