region	n_genes	spearman_rho	spearman_p	pct_de
InternalIntron	1130	0.056698250736804	0.0567330413508641	11.9
SingleExon	107	-0.111598833453788	0.252454729973453	9.3
FirstExon	43	-0.151824166730822	0.331105148917081	2.3
LastIntron	476	-0.0348446720011504	0.448180116739771	8.6
Downstream	449	-0.0358411839276434	0.448697978229841	10.9
FirstIntron	613	-0.0285394455457289	0.480620498857712	9.8
InternalExon	201	-0.0361692019084069	0.610222662857364	11.9
Intergenic	832	0.0151561997561875	0.662445380513933	10.2
Promoter	437	0.0149858961033119	0.754741406158516	7.8
LastExon	510	-0.0000116697963281732	0.999790240585749	11
