gene_id	n_dmp	mean_diff	n_hyper	n_hypo	log2FoldChange	padj	baseMean	de	meth_direction	gene_name	dmp_bin
LOC_00000011	2	0.200107422883472	2	0	0.0981016639047387	0.462512694362163	2694.23172021642	FALSE	Hyper	znf593	2-3
LOC_00000014	1	0.191341023722032	1	0	-0.140879030462253	0.301484126107553	1094.04298775017	FALSE	Hyper	Map3k7	1
LOC_00000016	2	0.207663416694578	2	0	0.0341331153548921	0.848725683934178	1029.0110221142	FALSE	Hyper	nus1	2-3
LOC_00000018	2	0.207663416694578	2	0	0.0876909577068952	0.564589550485637	6061.9439958873	FALSE	Hyper	Igf2r	2-3
LOC_00000023	1	-0.183091724328815	0	1	0.177134973442918	0.131191854515608	2094.31982364737	FALSE	Hypo	NEO1	1
LOC_00000024	1	0.218024897441686	1	0	0.409734429094751	0.051825849074209	377.317479737747	FALSE	Hyper	Hyaluronidase	1
LOC_00000029	2	-0.119771847926366	1	1	0.365185581876905	0.00163886125740238	2889.8870410985	TRUE	Hypo	NAV2	2-3
LOC_00000041	3	-0.216754878644731	0	3	-0.0286296296433017	0.860837938908501	3038.88963820482	FALSE	Hypo	Ext2	2-3
LOC_00000044	1	-0.274088746112852	0	1	0.0945475630727913	0.525277865280882	813.216263821506	FALSE	Hypo	aebp2	1
LOC_00000055	6	0.222595005186415	6	0	0.600240800012867	0.0000530112698190225	1637.77414370978	TRUE	Hyper	y	6-10
LOC_00000056	11	0.226813299767045	11	0	5.02182080003814	0.0000000000000000468140826381633	38.217528545733	TRUE	Hyper		>10
LOC_00000057	5	0.231875253263801	5	0	-0.20295600325079	0.173682338352787	839.030039596207	FALSE	Hyper	WASF3	4-5
LOC_00000061	1	-0.245831491908941	0	1	0.238983032116029	0.0322315701812872	69656.7264916925	TRUE	Hypo	Moe	1
LOC_00000063	2	-0.218873614898658	0	2	0.0475694363168219	0.758131740888043	568.511507122592	FALSE	Hypo	AK5	2-3
LOC_00000081	7	-0.213002129453083	0	7	-0.126053298252085	0.367881253093311	55.6632822405995	FALSE	Hypo	METTL27	6-10
