module	wilcox_p	cohens_d	direction	wilcox_padj
lightgreen	0.0571428571428571	-2.58024564891626	Down	0.135714285714286
grey60	0.0571428571428571	1.83904438967184	Up	0.135714285714286
red	0.0571428571428571	2.92201739260088	Up	0.135714285714286
salmon	0.0571428571428571	2.14590678489839	Up	0.135714285714286
green	0.0571428571428571	2.37642861634022	Up	0.135714285714286
tan	0.0571428571428571	2.76468091691704	Up	0.135714285714286
pink	0.0571428571428571	-2.08430670836625	Down	0.135714285714286
grey	0.0571428571428571	2.00666140045261	Up	0.135714285714286
magenta	0.114285714285714	-1.69783282894174	Down	0.197402597402597
purple	0.114285714285714	-1.65791251582604	Down	0.197402597402597
cyan	0.114285714285714	-1.65474535539644	Down	0.197402597402597
midnightblue	0.228571428571429	-1.21693427185	Down	0.334065934065934
yellow	0.228571428571429	-1.33633409908333	Down	0.334065934065934
brown	0.4	1.040422827997	Up	0.475
lightcyan	0.4	1.73927370801202	Up	0.475
blue	0.4	-1.1145591254498	Down	0.475
black	0.628571428571429	-0.372389601948996	Down	0.663492063492063
turquoise	0.628571428571429	-0.0303798013457014	Down	0.663492063492063
greenyellow	0.857142857142857	0.276846131606045	Up	0.857142857142857
