module	size	genes_with_dmp	pct_with_dmp	total_dmps	n_hyper	n_hypo	fisher_p	odds_ratio	fisher_padj	wilcox_p	wilcox_padj	cohens_d	direction
black	854	163	19.1	931	489	442	0.0474375727066872	1.16819083942273	0.121982329817196	0.628571428571429	0.663492063492063	-0.372389601948996	Down
blue	2355	348	14.8	2313	1304	1009	0.998985892050346	0.828591509209773	0.999999999991195	0.4	0.475	-1.1145591254498	Down
brown	1982	235	11.9	1325	574	751	0.999999999991195	0.627228523808293	0.999999999991195	0.4	0.475	1.040422827997	Up
cyan	146	39	26.7	136	53	83	0.00186974403595407	1.8008242248731	0.0112184642157244	0.114285714285714	0.197402597402597	-1.65474535539644	Down
green	975	215	22.1	1166	634	532	0.0000116839990402822	1.42292824922498	0.00021031198272508	0.0571428571428571	0.135714285714286	2.37642861634022	Up
greenyellow	203	50	24.6	375	185	190	0.00313103281715703	1.61567762831056	0.0112717181417653	0.857142857142857	0.857142857142857	0.276846131606045	Up
grey60	65	7	10.8	32	15	17	0.939504165165971	0.591353284754779	0.999999999991195	0.0571428571428571	0.135714285714286	1.83904438967184	Up
lightcyan	96	17	17.7	241	100	141	0.460712873106965	1.05664588609571	0.753893792356852	0.4	0.475	1.73927370801202	Up
lightgreen	60	18	30	93	16	77	0.00860093787962089	2.11113734662303	0.0258028136388627	0.0571428571428571	0.135714285714286	-2.58024564891626	Down
magenta	280	43	15.4	212	108	104	0.782210840058187	0.888786877524225	0.999999999991195	0.114285714285714	0.197402597402597	-1.69783282894174	Down
midnightblue	99	23	23.2	107	63	44	0.0653653669582255	1.48969954242992	0.147072075656007	0.228571428571429	0.334065934065934	-1.21693427185	Down
pink	574	107	18.6	640	251	389	0.144663898162451	1.12993812890148	0.260395016692412	0.0571428571428571	0.135714285714286	-2.08430670836625	Down
purple	248	51	20.6	220	66	154	0.0752685678243554	1.27604492005339	0.150537135648711	0.114285714285714	0.197402597402597	-1.65791251582604	Down
red	891	182	20.4	1096	559	537	0.00282317065013793	1.27920610348482	0.0112717181417653	0.0571428571428571	0.135714285714286	2.92201739260088	Up
salmon	156	13	8.3	102	73	29	0.999390370659139	0.443515096448506	0.999999999991195	0.0571428571428571	0.135714285714286	2.14590678489839	Up
tan	189	52	27.5	253	102	151	0.000167317907720108	1.88024838784462	0.00150586116948097	0.0571428571428571	0.135714285714286	2.76468091691704	Up
turquoise	4636	784	16.9	4466	1963	2503	0.520063005099399	0.998643948143071	0.780094507649099	0.628571428571429	0.663492063492063	-0.0303798013457014	Down
yellow	1831	300	16.4	1796	748	1048	0.753673368844697	0.956937633909156	0.999999999991195	0.228571428571429	0.334065934065934	-1.33633409908333	Down
