gene_id	module
LOC_00000001	grey
LOC_00000004	turquoise
LOC_00000007	pink
LOC_00000008	turquoise
LOC_00000010	green
LOC_00000011	green
LOC_00000012	red
LOC_00000013	turquoise
LOC_00000014	green
LOC_00000016	yellow
LOC_00000018	red
LOC_00000019	red
LOC_00000020	turquoise
LOC_00000021	blue
LOC_00000022	turquoise
LOC_00000024	green
LOC_00000026	brown
LOC_00000027	purple
LOC_00000028	magenta
LOC_00000029	red
LOC_00000030	black
LOC_00000031	turquoise
LOC_00000032	blue
LOC_00000033	turquoise
LOC_00000039	turquoise
LOC_00000041	blue
LOC_00000042	blue
LOC_00000044	turquoise
LOC_00000045	turquoise
LOC_00000046	yellow
LOC_00000052	grey
LOC_00000054	green
LOC_00000055	brown
LOC_00000056	grey
LOC_00000057	grey
LOC_00000058	purple
LOC_00000059	cyan
LOC_00000063	turquoise
LOC_00000064	cyan
LOC_00000065	turquoise
LOC_00000066	turquoise
LOC_00000067	blue
LOC_00000069	green
LOC_00000070	brown
LOC_00000071	blue
LOC_00000072	purple
LOC_00000073	blue
LOC_00000074	turquoise
LOC_00000075	turquoise
LOC_00000076	yellow
LOC_00000078	magenta
LOC_00000079	turquoise
LOC_00000081	greenyellow
LOC_00000082	black
LOC_00000084	yellow
LOC_00000087	cyan
LOC_00000095	turquoise
LOC_00000096	turquoise
LOC_00000097	black
LOC_00000098	blue
LOC_00000099	turquoise
LOC_00000100	blue
LOC_00000101	red
LOC_00000102	black
LOC_00000103	pink
LOC_00000105	cyan
LOC_00000106	turquoise
LOC_00000107	grey
LOC_00000108	black
LOC_00000110	turquoise
LOC_00000111	yellow
LOC_00000113	pink
LOC_00000114	blue
LOC_00000115	turquoise
LOC_00000119	green
LOC_00000120	turquoise
LOC_00000121	turquoise
LOC_00000122	turquoise
LOC_00000123	purple
LOC_00000124	blue
LOC_00000126	turquoise
LOC_00000130	pink
LOC_00000131	turquoise
LOC_00000132	blue
LOC_00000133	yellow
LOC_00000134	turquoise
LOC_00000135	blue
LOC_00000136	turquoise
LOC_00000137	black
LOC_00000140	black
LOC_00000141	grey
LOC_00000142	cyan
LOC_00000143	blue
LOC_00000144	red
LOC_00000145	brown
LOC_00000149	brown
LOC_00000150	brown
LOC_00000152	brown
LOC_00000153	brown
LOC_00000154	yellow
LOC_00000155	turquoise
LOC_00000156	brown
LOC_00000158	pink
LOC_00000160	brown
LOC_00000162	turquoise
LOC_00000163	pink
LOC_00000166	turquoise
LOC_00000168	grey
LOC_00000169	yellow
LOC_00000171	cyan
LOC_00000172	black
LOC_00000173	black
LOC_00000174	blue
LOC_00000175	brown
LOC_00000179	brown
LOC_00000180	grey
LOC_00000181	turquoise
LOC_00000183	turquoise
LOC_00000184	purple
LOC_00000185	turquoise
LOC_00000186	red
LOC_00000192	brown
LOC_00000196	yellow
LOC_00000197	turquoise
LOC_00000199	brown
LOC_00000200	green
LOC_00000201	blue
LOC_00000202	green
LOC_00000203	blue
LOC_00000204	turquoise
LOC_00000208	black
LOC_00000209	brown
LOC_00000212	turquoise
LOC_00000213	purple
LOC_00000214	blue
LOC_00000216	turquoise
LOC_00000217	red
LOC_00000220	brown
LOC_00000222	turquoise
LOC_00000223	turquoise
LOC_00000224	purple
LOC_00000225	red
LOC_00000226	red
LOC_00000227	salmon
LOC_00000228	blue
LOC_00000229	purple
LOC_00000230	blue
LOC_00000231	yellow
LOC_00000232	blue
LOC_00000233	turquoise
LOC_00000234	turquoise
LOC_00000235	turquoise
LOC_00000245	red
LOC_00000246	green
LOC_00000247	red
LOC_00000249	brown
LOC_00000250	pink
LOC_00000251	blue
LOC_00000252	turquoise
LOC_00000253	black
LOC_00000254	turquoise
LOC_00000255	turquoise
LOC_00000257	red
LOC_00000259	blue
LOC_00000260	blue
LOC_00000262	green
