motif_id	motif_name	tf_class	methyl_sens	odds_ratio	pvalue	n_concord	n_bg	fdr
MA0527.2	ZBTB33	Other factors with up to three adjacent zinc fingers	MethylPlus	1.54075584663379	0.00630374615249945	55	7707	0.91564882563275
MA2174.1	mls-2	NK	Unknown	1.32321880406303	0.16596321355833	18	2934	0.91564882563275
MA1840.2	gcm	GCM	Unknown	1.28213351936615	0.0818807462605477	52	8746	0.91564882563275
MA0737.1	GLIS3	More than 3 adjacent zinc fingers	Unknown	1.2720263102496	0.0538846678882886	85	14409	0.91564882563275
MA0068.2	PAX4	Paired plus homeo domain	Unknown	1.26386266174267	0.181626440678424	23	3924	0.91564882563275
MA0749.2	ZBED1	BED zinc finger factors	Unknown	1.26184093986467	0.116715891910076	42	7177	0.91564882563275
MA1908.2	Otx	Paired-related HD factors	Unknown	1.2540953237598	0.120960325478932	43	7393	0.91564882563275
MA0158.2	HOXA5	HOX	Unknown	1.25071683193525	0.193306534426645	23	3965	0.91564882563275
MA1139.2	FOSL2::JUNB	Fos-related	MethylMinus	1.24510371333762	0.0941267302014538	63	10909	0.91564882563275
MA2127.1	atf-2	CEBP-related	Unknown	1.24311600057815	0.10912738766847	54	9366	0.91564882563275
MA0767.2	GCM2	GCM	Unknown	1.23455062680686	0.124112412376715	50	8732	0.91564882563275
MA1129.1	FOSL1::JUN	Fos-related	MethylMinus	1.22613834096679	0.112634140818572	62	10901	0.91564882563275
MA2319.1	run	Runt-related factors	Unknown	1.21905581232736	0.119677654312957	62	10964	0.91564882563275
MA0141.4	ESRRB	Steroid hormone receptors (NR3)	Unknown	1.21479350622828	0.0985355244542924	85	15084	0.91564882563275
MA0464.3	BHLHE40	Hairy-related factors	Unknown	1.21195425405722	0.16978831760781	40	7115	0.91564882563275
MA0834.2	ATF7	Jun-related	Unknown	1.21028850454543	0.118429928520751	70	12468	0.91564882563275
MA0690.3	TBX21	TBrain-related factors	Unknown	1.20497839358222	0.106906898103012	87	15564	0.91564882563275
MA1985.1	ZNF669	More than 3 adjacent zinc fingers	Unknown	1.19967427605744	0.0939088668247364	114	20484	0.91564882563275
MA0531.2	CTCF	More than 3 adjacent zinc fingers	Unknown	1.19621897492743	0.106415296515268	100	18020	0.91564882563275
MA0678.1	OLIG2	Tal-related	Unknown	1.19474771698666	0.123862431109051	81	14614	0.91564882563275
MA1849.2	Creb1	CREB-related factors	MethylMinus	1.18879126432176	0.156881656955722	60	10879	0.91564882563275
MA1131.2	FOSL2::JUN	Fos-related	MethylMinus	1.18671093828779	0.129711214330374	85	15439	0.91564882563275
MA2171.1	lsl-1	More than 3 adjacent zinc fingers	Unknown	1.18376792599703	0.13527812040402	83	15113	0.91564882563275
MA1565.2	TBX18	TBX1-related factors	Unknown	1.18035325340595	0.131604730228289	92	16800	0.91564882563275
MA0689.1	TBX20	TBX1-related factors	Unknown	1.18028365156785	0.138785309282883	84	15340	0.91564882563275
MA1567.3	Tbx6	TBX6-related factors	Unknown	1.17666603683953	0.138106172733804	90	16486	0.91564882563275
MA2178.1	sta-1	STAT factors	Unknown	1.17656491808151	0.13572417934133	93	17037	0.91564882563275
MA1136.1	FOSB::JUNB	Fos-related	Unknown	1.17431420647263	0.159511463093404	72	13215	0.91564882563275
MA1982.2	ZNF574	Factors with multiple dispersed zinc fingers	Unknown	1.1741132976646	0.132835114333444	101	18541	0.91564882563275
MA0522.4	TCF3	E2A	Unknown	1.17227590181522	0.141490485337243	93	17099	0.91564882563275
MA2202.1	byn	Brachyury-related factors	Unknown	1.17196152167298	0.146207419233402	88	16184	0.91564882563275
MA1518.3	Lhx1	HD-LIM	Unknown	1.16992030479824	0.237919971119606	34	6264	0.91564882563275
MA2176.1	mxl-3	bHLH-ZIP	MethylMinus	1.16762519308087	0.188149043673526	58	10706	0.91564882563275
MA2193.1	Atf3	Fos-related	MethylMinus	1.16575120385792	0.165794363093182	77	14236	0.91564882563275
MA1858.2	Fos-b	Fos-related	Unknown	1.16365515360734	0.189194045033862	61	11298	0.91564882563275
MA0656.2	JDP2	Fos-related	Unknown	1.16330124259324	0.17269854941994	74	13710	0.91564882563275
MA2200.1	bs	Responders to external signals (SRF/RLM1)	Unknown	1.1614851603086	0.192354203158858	61	11319	0.91564882563275
MA2245.1	Hr78	RXR-related receptors (NR2)	Unknown	1.16110707491331	0.165423333550954	84	15592	0.91564882563275
MA1127.1	FOSB::JUN	Fos-related	Unknown	1.1605297419127	0.174528567775321	76	14114	0.91564882563275
MA0449.1	h	Helix-Loop-Helix	MethylMinus	1.16036304122239	0.222695157347923	45	8358	0.91564882563275
MA0840.2	Creb5	CREB-related factors	Unknown	1.16019311547185	0.179621304840657	72	13375	0.91564882563275
MA2175.1	mxl-1	bHLH-ZIP	MethylMinus	1.15989362889528	0.199299078559212	58	10777	0.91564882563275
MA2223.1	EcR	Thyroid hormone receptor-related factors (NR1)	Unknown	1.15356562498873	0.220679891144066	51	9528	0.91564882563275
MA0688.2	TBX2	TBX2-related factors	Unknown	1.15344714419578	0.177078579986851	84	15695	0.91564882563275
MA2215.1	dm	bHLH-ZIP	MethylMinus	1.15299391134312	0.189399391241087	73	13645	0.91564882563275
MA2255.1	Max	bHLH-ZIP	MethylMinus	1.15299391134312	0.189399391241087	73	13645	0.91564882563275
MA0516.3	SP2	Three-zinc finger Kruppel-related	MethylMinus	1.15203387661918	0.144983557145828	135	25255	0.91564882563275
MA1111.2	NR2F2	RXR-related receptors (NR2)	Unknown	1.1499195686855	0.168389019189292	101	18929	0.91564882563275
MA2286.1	svp	RXR-related receptors (NR2)	Unknown	1.1499195686855	0.168389019189292	101	18929	0.91564882563275
MA2338.1	Ppara	Thyroid hormone receptor-related factors (NR1)	Unknown	1.1499195686855	0.168389019189292	101	18929	0.91564882563275
MA2316.1	l(3)neo38	Three-zinc finger Kruppel-related	Unknown	1.14842060952172	0.147993934043516	141	26460	0.91564882563275
MA0604.1	Atf1	CREB-related factors	MethylMinus	1.14667033599835	0.256654281606882	39	7330	0.91564882563275
MA1719.2	ZNF816	More than 3 adjacent zinc fingers	Unknown	1.14518730804578	0.16498032944597	118	22206	0.91564882563275
MA2208.1	crc	ATF-4-related factors	Unknown	1.14317484708406	0.21113511946891	68	12819	0.91564882563275
MA1846.2	Brachyury	Brachyury-related factors	Unknown	1.14014947325024	0.204694959405246	78	14743	0.91564882563275
MA0735.2	GLIS1	More than 3 adjacent zinc fingers	Unknown	1.13651922340512	0.214078973747214	75	14221	0.91564882563275
MA1475.2	CREB3L4	CREB-related factors	Unknown	1.13537495407368	0.226700411706543	66	12527	0.91564882563275
MA2217.1	dpn	Hairy-related factors	Unknown	1.1331190584518	0.206420994585019	89	16926	0.91564882563275
MA2262.1	pnt	Ets-related	MethylMinus	1.13290256208374	0.207676126833475	88	16739	0.91564882563275
MA2152.1	ref-1	Hairy-related factors	Unknown	1.13147120705099	0.233408806946731	66	12570	0.91564882563275
MA2210.1	CrebB	CREB-related factors	Unknown	1.13131182078068	0.25767940918308	50	9524	0.91564882563275
MA0243.2	sd	TEF-1-related factors	Unknown	1.13105473420235	0.202124839531454	99	18862	0.91564882563275
MA1102.3	CTCFL	More than 3 adjacent zinc fingers	Unknown	1.13008464599793	0.196968280560131	109	20785	0.91564882563275
MA0104.5	MYCN	bHLH-ZIP	MethylMinus	1.12865873699987	0.255391381835555	54	10310	0.91564882563275
MA1145.2	FOSL2::JUND	Fos-related	MethylMinus	1.12764064984483	0.223592339253388	81	15479	0.91564882563275
MA0017.3	NR2F1	RXR-related receptors (NR2)	Unknown	1.12673040058108	0.21311600032015	95	18169	0.91564882563275
MA0451.2	kni	Thyroid hormone receptor-related factors (NR1)	Unknown	1.12656103849294	0.212657861093504	96	18363	0.91564882563275
MA0830.3	TCF4	E2A	Unknown	1.12647889479855	0.20632115851644	105	20086	0.91564882563275
MA2250.1	klu	More than 3 adjacent zinc fingers	Unknown	1.12583058155892	0.197761172401018	121	23160	0.91564882563275
MA0039.5	KLF4	Three-zinc finger Kruppel-related	MethylMinus	1.12553652183032	0.18759248519264	143	27378	0.91564882563275
MA1464.2	ARNT2	PAS domain factors	Unknown	1.12498544548403	0.247390922306871	64	12259	0.91564882563275
MA0827.1	OLIG3	Tal-related	Unknown	1.12464365875137	0.234085511509586	76	14562	0.91564882563275
MA1523.2	MSANTD3	Myb/SANT domain factors	Unknown	1.12372869020947	0.206417048893622	113	21669	0.91564882563275
MA1140.3	JUNB	Jun-related	Unknown	1.12343687611038	0.251463003961262	63	12084	0.91564882563275
MA2214.1	dimm	Tal-related	Unknown	1.12220463988785	0.266543853181709	54	10369	0.91564882563275
MA0043.4	HLF	CEBP-related	Unknown	1.12074162215246	0.251326822275099	67	12882	0.91564882563275
MA0638.2	CREB3	CREB-related factors	Unknown	1.11910070776775	0.249733509388417	71	13671	0.91564882563275
MA1143.2	FOSL1::JUND	Fos-related	MethylMinus	1.11890937661232	0.241771016111052	79	15214	0.91564882563275
MA0632.3	TCFL5	PAS domain factors	Unknown	1.11847953289767	0.290455980451107	44	8477	0.91564882563275
MA0528.3	ZNF263	More than 3 adjacent zinc fingers	Unknown	1.11831940557612	0.226913165643102	98	18883	0.91564882563275
MA0755.2	CUX2	HD-CUT	Unknown	1.1172242863432	0.288782858584043	46	8872	0.91564882563275
MA1596.1	ZNF460	More than 3 adjacent zinc fingers	Unknown	1.11716548526496	0.211613413489892	127	24496	0.91564882563275
MA0530.2	cnc::maf-S	Jun-related	Unknown	1.11679610635799	0.235254752461487	91	17558	0.91564882563275
MA1926.2	Usf	bHLH-ZIP	MethylMinus	1.11619550802589	0.264669467800337	63	12162	0.91564882563275
MA0262.1	mab-3	DMRT factors	Unknown	1.1144049360848	0.225475689513119	112	21656	0.91564882563275
MA2318.1	pita	More than 3 adjacent zinc fingers	Unknown	1.11398949288196	0.246654508143613	84	16248	0.91564882563275
MA2219.1	E(spl)m3-HLH	Hairy-related factors	Unknown	1.11258522696097	0.259966938541845	73	14138	0.91564882563275
MA0752.2	ZNF410	More than 3 adjacent zinc fingers	Unknown	1.1124817081886	0.259129442941334	74	14333	0.91564882563275
MA0664.2	MLXIPL	bHLH-ZIP	MethylMinus	1.1111597300883	0.276651941424668	61	11829	0.91564882563275
MA0148.5	FOXA1	FOX	MethylMinus	1.11077970938808	0.274836625428273	63	12221	0.91564882563275
MA2123.1	Hand1	Tal-related	Unknown	1.11069246134728	0.242909925953055	97	18818	0.91564882563275
MA1584.2	ZIC5	More than 3 adjacent zinc fingers	Unknown	1.10884716772597	0.259556992124454	81	15740	0.91564882563275
MA0047.4	FOXA2	FOX	MethylMinus	1.10869115607908	0.253070381950426	89	17297	0.91564882563275
