motif_id	motif_name	tf_class
MA0004.1	Arnt	PAS domain factors
MA0013.1	br	Other factors with up to three adjacent zinc fingers
MA0022.1	dl	
MA0023.1	dl	Rel homology domain (RHD)
MA0026.1	Eip74EF	Ets-related
MA0049.1	hb	Factors with multiple dispersed zinc fingers
MA0069.1	PAX6	Paired plus homeo domain
MA0071.1	RORA	Thyroid hormone receptor-related factors (NR1)
MA0074.1	RXRA::VDR	RXR-related receptors (NR2)
MA0101.1	REL	NF-kappaB-related factors
MA0107.1	RELA	NF-kappaB-related factors
MA0111.1	Spz1	bHLH-ZIP
MA0115.1	NR1H2::RXRA	Thyroid hormone receptor-related factors (NR1)
MA0116.1	Znf423	Factors with multiple dispersed zinc fingers
MA0119.1	NFIC::TLX1	Nuclear factor 1
MA0130.1	ZNF354C	More than 3 adjacent zinc fingers
MA0142.1	Pou5f1::Sox2	POU domain factors
MA0149.1	EWSR1-FLI1	Ets-related
MA0151.1	Arid3a	ARID-related
MA0155.1	INSM1	Factors with multiple dispersed zinc fingers
MA0159.1	RARA::RXRA	Thyroid hormone receptor-related factors (NR1)
MA0163.1	PLAG1	More than 3 adjacent zinc fingers
MA0165.1	Abd-B	HOX
MA0166.1	Antp	HOX
MA0167.1	Awh	HD-LIM
MA0168.1	B-H1	HOX
MA0169.1	B-H2	HOX
MA0170.1	C15	NK
MA0171.1	CG11085	NK
MA0172.1	CG11294	Paired-related HD factors
MA0173.1	CG11617	TALE-type HD
MA0174.1	Dbx	Homeo
MA0175.1	lms	NK
MA0176.1	CG15696	NK
MA0177.1	CG18599	NK
MA0178.1	CG32105	HD-LIM
MA0179.1	CG32532	Paired-related HD factors
MA0180.1	Vsx2	Paired-related HD factors
MA0181.1	Vsx1	Paired-related HD factors
MA0182.1	CG4328	HD-LIM
MA0183.1	HHEX	NK
MA0186.1	Dfd	HOX
MA0187.1	Dll	NK
MA0188.1	Dr	NK
MA0190.1	Gsc	Paired-related HD factors
MA0191.1	HGTX	NK
MA0192.1	Hmx	NK
MA0193.1	schlank	
MA0194.1	Lim1	HD-LIM
MA0196.1	NK7.1	NK
MA0198.1	OdsH	Paired-related HD factors
MA0199.1	Optix	HD-SINE
MA0201.1	Ptx1	Paired-related HD factors
MA0202.1	Rx	Paired-related HD factors
MA0203.1	Scr	HOX
MA0204.1	Six4	HD-SINE
MA0206.1	abd-A	HOX
MA0207.1	achi	TALE-type homeo domain factors
MA0208.1	al	Paired-related HD factors
MA0209.1	ap	HD-LIM
MA0210.1	ara	TALE-type homeo domain factors
MA0211.1	bap	NK
MA0212.1	bcd	Paired-related HD factors
MA0213.1	brk	
MA0214.1	bsh	NK
MA0215.1	btn	HOX
MA0217.1	caup	TALE-type homeo domain factors
MA0218.1	ct	HD-CUT
MA0219.1	ems	NK
MA0220.1	en	NK
MA0221.1	eve	HOX
MA0224.1	exex	HOX
MA0225.1	ftz	HOX
MA0226.1	hbn	Paired-related HD factors
MA0227.1	hth	TALE-type homeo domain factors
MA0228.1	ind	HOX
MA0229.1	inv	NK
MA0230.1	lab	HOX
