motif_id	motif_name	tf_class	region_type	n_hits	n_genes	mean_score	mean_dist
MA0004.1	Arnt	PAS domain factors	promoter	6181	6181		-1000.51124413525
MA0013.1	br	Other factors with up to three adjacent zinc fingers	promoter	8280	8280		-1000.51449275362
MA0022.1	dl	""	promoter	6551	6551		-1000.50938787971
MA0023.1	dl	Rel homology domain (RHD)	promoter	4703	4703		-1000.51924303636
MA0026.1	Eip74EF	Ets-related	promoter	2583	2583		-1000.51451800232
MA0049.1	hb	Factors with multiple dispersed zinc fingers	promoter	8885	8885		-1000.51389983118
MA0069.1	PAX6	Paired plus homeo domain	promoter	3187	3187		-1000.51082522749
MA0071.1	RORA	Thyroid hormone receptor-related factors (NR1)	promoter	4222	4222		-1000.51279014685
MA0074.1	RXRA::VDR	RXR-related receptors (NR2)	promoter	3814	3814		-1000.50812794966
MA0101.1	REL	NF-kappaB-related factors	promoter	4374	4374		-1000.52057613169
MA0107.1	RELA	NF-kappaB-related factors	promoter	3636	3636		-1000.51595159516
MA0111.1	Spz1	bHLH-ZIP	promoter	3218	3218		-1000.48663766315
MA0115.1	NR1H2::RXRA	Thyroid hormone receptor-related factors (NR1)	promoter	5627	5627		-1000.51377288075
MA0116.1	Znf423	Factors with multiple dispersed zinc fingers	promoter	3161	3161		-1000.51186333439
MA0119.1	NFIC::TLX1	Nuclear factor 1	promoter	4586	4586		-1000.51199302224
MA0130.1	ZNF354C	More than 3 adjacent zinc fingers	promoter	13101	13101		-1000.50316769712
MA0142.1	Pou5f1::Sox2	POU domain factors	promoter	5285	5285		-1000.51106906339
MA0149.1	EWSR1-FLI1	Ets-related	promoter	10759	10759		-1000.50255599963
MA0151.1	Arid3a	ARID-related	promoter	21965	21965		-1000.51104029137
MA0155.1	INSM1	Factors with multiple dispersed zinc fingers	promoter	5528	5528		-1000.50832127352
MA0159.1	RARA::RXRA	Thyroid hormone receptor-related factors (NR1)	promoter	4252	4252		-1000.51740357479
MA0163.1	PLAG1	More than 3 adjacent zinc fingers	promoter	7383	7383		-1000.50629825274
MA0165.1	Abd-B	HOX	promoter	8303	8303		-1000.50367337107
MA0166.1	Antp	HOX	promoter	10464	10464		-1000.51165902141
MA0167.1	Awh	HD-LIM	promoter	10464	10464		-1000.51165902141
MA0168.1	B-H1	HOX	promoter	8159	8159		-1000.51244025003
MA0169.1	B-H2	HOX	promoter	8159	8159		-1000.51244025003
