motif_name	OR	p	n_spike	n_flank	padj	log2OR	neglog10p
Arnt	0	1	4636	0	1	-6.64385618977472	0
br	0	1	30255	0	1	-6.64385618977472	0
dl	0	1	8264	0	1	-6.64385618977472	0
Eip74EF	0	1	2008	0	1	-6.64385618977472	0
hb	0	1	6545	0	1	-6.64385618977472	0
PAX6	0	1	2262	0	1	-6.64385618977472	0
RORA	0	1	5731	0	1	-6.64385618977472	0
RXRA::VDR	0	1	2718	0	1	-6.64385618977472	0
REL	0	1	3218	0	1	-6.64385618977472	0
RELA	0	1	2642	0	1	-6.64385618977472	0
Spz1	0	1	2383	0	1	-6.64385618977472	0
NR1H2::RXRA	0	1	4123	0	1	-6.64385618977472	0
Znf423	0	1	2259	0	1	-6.64385618977472	0
NFIC::TLX1	0	1	3291	0	1	-6.64385618977472	0
ZNF354C	0	1	9343	0	1	-6.64385618977472	0
Pou5f1::Sox2	0	1	3753	0	1	-6.64385618977472	0
EWSR1-FLI1	0	1	7970	0	1	-6.64385618977472	0
Arid3a	0	1	15811	0	1	-6.64385618977472	0
INSM1	0	1	3924	0	1	-6.64385618977472	0
RARA::RXRA	0	1	3035	0	1	-6.64385618977472	0
PLAG1	0	1	5557	0	1	-6.64385618977472	0
Abd-B	0	1	5827	0	1	-6.64385618977472	0
Antp	0	1	7580	0	1	-6.64385618977472	0
Awh	0	1	7580	0	1	-6.64385618977472	0
B-H1	0	1	5724	0	1	-6.64385618977472	0
B-H2	0	1	5724	0	1	-6.64385618977472	0
C15	0	1	7580	0	1	-6.64385618977472	0
CG11085	0	1	5724	0	1	-6.64385618977472	0
CG11294	0	1	7580	0	1	-6.64385618977472	0
CG11617	0	1	6732	0	1	-6.64385618977472	0
Dbx	0	1	10710	0	1	-6.64385618977472	0
lms	0	1	5724	0	1	-6.64385618977472	0
CG15696	0	1	7580	0	1	-6.64385618977472	0
CG18599	0	1	7580	0	1	-6.64385618977472	0
CG32105	0	1	7580	0	1	-6.64385618977472	0
CG32532	0	1	7580	0	1	-6.64385618977472	0
Vsx2	0	1	2422	0	1	-6.64385618977472	0
Vsx1	0	1	7580	0	1	-6.64385618977472	0
CG4328	0	1	10710	0	1	-6.64385618977472	0
HHEX	0	1	4161	0	1	-6.64385618977472	0
Dfd	0	1	5746	0	1	-6.64385618977472	0
Dll	0	1	4660	0	1	-6.64385618977472	0
Dr	0	1	3938	0	1	-6.64385618977472	0
Gsc	0	1	8249	0	1	-6.64385618977472	0
HGTX	0	1	7580	0	1	-6.64385618977472	0
Hmx	0	1	5724	0	1	-6.64385618977472	0
schlank	0	1	3792	0	1	-6.64385618977472	0
Lim1	0	1	7580	0	1	-6.64385618977472	0
NK7.1	0	1	5724	0	1	-6.64385618977472	0
OdsH	0	1	4188	0	1	-6.64385618977472	0
Optix	0	1	17645	0	1	-6.64385618977472	0
Ptx1	0	1	2911	0	1	-6.64385618977472	0
Rx	0	1	7580	0	1	-6.64385618977472	0
Scr	0	1	5746	0	1	-6.64385618977472	0
Six4	0	1	12813	0	1	-6.64385618977472	0
abd-A	0	1	7580	0	1	-6.64385618977472	0
achi	0	1	12347	0	1	-6.64385618977472	0
al	0	1	7580	0	1	-6.64385618977472	0
ap	0	1	5735	0	1	-6.64385618977472	0
ara	0	1	17756	0	1	-6.64385618977472	0
bap	0	1	4877	0	1	-6.64385618977472	0
bcd	0	1	8249	0	1	-6.64385618977472	0
brk	0	1	2532	0	1	-6.64385618977472	0
bsh	0	1	7580	0	1	-6.64385618977472	0
btn	0	1	5746	0	1	-6.64385618977472	0
caup	0	1	17756	0	1	-6.64385618977472	0
ct	0	1	13063	0	1	-6.64385618977472	0
ems	0	1	7580	0	1	-6.64385618977472	0
en	0	1	7580	0	1	-6.64385618977472	0
eve	0	1	7580	0	1	-6.64385618977472	0
exex	0	1	4660	0	1	-6.64385618977472	0
ftz	0	1	7580	0	1	-6.64385618977472	0
hbn	0	1	7580	0	1	-6.64385618977472	0
hth	0	1	12347	0	1	-6.64385618977472	0
ind	0	1	7580	0	1	-6.64385618977472	0
inv	0	1	2342	0	1	-6.64385618977472	0
lab	0	1	7580	0	1	-6.64385618977472	0
lbe	0	1	10894	0	1	-6.64385618977472	0
lbl	0	1	10894	0	1	-6.64385618977472	0
mirr	0	1	18069	0	1	-6.64385618977472	0
oc	0	1	8249	0	1	-6.64385618977472	0
onecut	0	1	9183	0	1	-6.64385618977472	0
otp	0	1	7580	0	1	-6.64385618977472	0
pb	0	1	7580	0	1	-6.64385618977472	0
repo	0	1	7580	0	1	-6.64385618977472	0
ro	0	1	4188	0	1	-6.64385618977472	0
Bgb::run	0	1	2952	0	1	-6.64385618977472	0
slbo	0	1	2396	0	1	-6.64385618977472	0
slou	0	1	7580	0	1	-6.64385618977472	0
so	0	1	9266	0	1	-6.64385618977472	0
tup	0	1	5724	0	1	-6.64385618977472	0
unc-4	0	1	5724	0	1	-6.64385618977472	0
unpg	0	1	7580	0	1	-6.64385618977472	0
vnd	0	1	2736	0	1	-6.64385618977472	0
vvl	0	1	13069	0	1	-6.64385618977472	0
zen	0	1	4424	0	1	-6.64385618977472	0
che-1	0	1	10367	0	1	-6.64385618977472	0
lin-14	0	1	11851	0	1	-6.64385618977472	0
mab-3	0	1	4187	0	1	-6.64385618977472	0
ceh-10::ttx-3	0	1	3209	0	1	-6.64385618977472	0
CG34031	0	1	5724	0	1	-6.64385618977472	0
D	0	1	6167	0	1	-6.64385618977472	0
fkh	0	1	4604	0	1	-6.64385618977472	0
gt	0	1	866	0	1	-6.64385618977472	0
H2.0	0	1	7580	0	1	-6.64385618977472	0
