decile	bin	mean_beta	mean_beta_a	n
D01	-4720	7.69173164907881	7.81831954822124	284
D01	-4690	7.03054821988912	7.00840651677861	233
D01	-4050	6.88917497024582	7.04333412627905	289
D01	-4020	7.04264398731648	7.07174453357427	275
D01	-4010	6.48390198617949	6.52555089132579	280
D01	-3950	7.58950009815451	7.67743667568754	313
D01	-3940	6.82290212627311	6.75355101128326	278
D01	-3900	9.38618582660443	9.61866062763854	253
D01	-3870	6.72858009366871	6.91742388112403	248
D01	-3840	5.82626723646762	5.95398793253419	276
D01	-3750	5.32206959998449	5.51400286615929	298
D01	-3700	3.37283840227181	3.6006178164027	248
D01	-3680	5.88420170373679	5.98175572630724	261
D01	-3640	5.536428027551	5.90397147137228	285
D01	-3630	6.45597624201501	6.66901277879019	290
D01	-3620	5.52656981691076	5.54940848388949	264
D01	-3610	4.32783734616247	4.51324388700891	288
D01	-3580	5.1871689827024	5.14578175963055	298
D01	-3110	6.11406359723386	6.16395401283362	281
D01	-3090	6.36023804794194	6.34302510707346	293
D01	-3050	4.761150345989	4.68975261637414	299
D01	-3010	5.92342404248908	6.1207748999656	314
D01	-2970	7.0945287061854	6.9639449865598	311
D01	-2950	7.34977093231515	7.72780671800696	288
D01	-2940	6.02473472935915	6.22106477756088	309
D01	-2930	6.39679139928939	6.70035016999784	298
D01	-2890	3.78107361895563	3.859255171946	277
D01	-2810	4.37401276725756	4.48005776196127	336
D01	-2800	6.88115849810323	6.80653076470477	322
D01	-2780	4.7270459916954	4.49160175611153	281
D01	-2720	4.71551704138122	4.64031457258367	309
D01	-2660	2.25319299493062	2.17922107007027	271
D01	-2570	4.78369522274315	4.89284390426768	271
D01	-2490	3.54649402471842	3.27235135310623	284
D01	-2470	4.68254118235542	4.86501431333156	299
D01	-2440	3.0594413474356	2.91467050527708	313
D01	-2250	3.45812329726449	3.10302332944544	276
D01	-2220	4.67692238047853	4.82736056024719	299
D01	-2190	3.94374399514612	3.66123680481338	297
D01	-1950	4.52195411804522	4.51630868966903	322
D01	-1870	5.91689111912716	5.8182273806259	294
D01	-1860	3.36307072180431	3.36128599158878	309
D01	-1840	3.62096448482387	3.90250119000493	330
D01	-1830	4.3270538991978	4.2529064857461	313
D01	-1770	2.94772215938328	2.82791917372711	309
D01	-1730	3.23828988207777	3.74467757724784	324
D01	-1710	3.91078712268274	3.83953214743871	274
D01	-1690	4.19036140885101	4.25434795272351	321
D01	-1640	2.77720139541245	2.72157288761459	309
D01	-1580	3.12419229328417	3.25927821646874	277
D01	-1550	4.83336974521983	4.89757394382365	313
D01	-1540	0.979971084620872	1.09437494093592	323
D01	-1530	3.01407855354483	3.0364119465424	277
D01	730	2.71811934333689	2.84546806368587	318
D01	750	2.87349439085084	3.03971033557715	342
D01	780	5.01423557216682	5.19369811426793	279
D01	820	4.36642117586063	4.05860296271629	298
D01	860	5.12856338392734	4.85091084018449	310
D01	880	5.24026355536651	5.03039120520465	289
D01	920	5.49264948794434	5.43944110139703	305
D01	940	4.7394552613161	4.84210425107394	332
D01	960	4.74659802063376	4.76687273468439	341
D01	970	4.70060515868509	4.58394537371082	304
D01	1230	7.15450151431863	7.35247153990055	279
D01	1300	4.9132169653768	4.80137565452789	292
D01	1310	3.26870551263203	3.18353244198508	302
D01	1320	5.30391469687	5.40546975351223	308
D01	1330	3.41942671630267	3.44654480492182	318
D01	1350	4.94837618440867	5.09072876284165	348
D01	1410	6.13609911204106	6.15488960126604	319
D01	1450	5.49583280392737	5.80417465195414	305
D01	1470	4.80743174660847	4.95698034548953	298
D01	1480	3.92590904578939	4.04838506245673	304
D01	1530	4.95685641385804	5.42483400075158	294
D01	1560	4.04955566003638	4.04181460965164	302
D01	1570	4.88840472425477	4.78265075584556	309
D01	1580	6.66814453817993	6.64706171062045	281
D01	1600	4.27425063246281	4.36486728198349	294
D01	1640	5.08356534844846	5.16194291834035	309
D01	1650	4.49736636754224	4.50517325150342	292
D01	1670	5.58576132573139	5.70815446329955	340
D01	1680	5.4771815876627	5.39698953362007	323
D01	1690	5.94483000190127	5.99640343026645	319
D01	1740	3.46150342896497	3.43189016097345	274
D01	1840	3.46923895026901	3.246437944809	300
D01	1860	5.96518350315864	5.96004347943545	305
D01	1870	4.47446350431577	4.15858195402114	275
D01	1880	5.08567420145374	5.11457494787564	284
D01	1890	4.60869753889534	4.68445101985416	317
D01	1980	5.07931727315703	5.05776453437225	267
D05	1050	49.6355057487234	50.3506601824249	318
D05	1020	54.6868645132742	55.0181321213336	339
D05	1000	54.1586052397022	54.2400692821757	315
D05	890	48.025933753379	48.589045676923	354
D05	840	47.598106884095	47.6048456138546	339
D05	830	44.2071378875496	44.834571505524	358
D05	810	49.7127863185609	50.3233170958707	362
D05	790	40.0431803272236	40.221141045891	352
D05	770	43.7579497961532	43.7366031523811	346
D07	-4980	22.1253696032341	22.0447316664944	358
D07	-4960	19.8375647394631	20.2118071495242	378
D07	-4910	19.0697618435211	18.8936387782097	375
D07	-4890	18.974188394044	18.944260943121	340
D07	-4590	15.7246019718576	15.4565964337851	407
D07	-4570	18.6115532971869	19.0931506277413	368
D07	-4390	16.7234154943454	16.8003775549121	373
D07	-4380	15.110652897403	15.0191262073131	390
D07	-3770	19.0907959998486	19.3931812484052	366
D07	-3730	16.5515226651628	16.5566854509559	388
D07	-3680	16.057087558186	15.6711286760425	378
D07	-3660	12.3043259045484	12.0421158064308	400
D07	-3620	13.731610200803	13.2109282865565	359
D07	-3550	14.1462668298597	14.0858348772174	368
D07	-2940	11.417502569897	11.5399041502438	403
D07	-2920	9.67071014961011	9.78592997204331	407
D07	-2910	13.7978252928241	13.6999881126965	354
