chr	start	end	length	nCG	meanMethy1	meanMethy2	diff.Methy	areaStat	annotation	in_te	nearest_gene
chr8	35116998	35117692	695	21	0.588060721022414	0.145922582102692	0.442138138919723	237.888550753251	Exon	TRUE	LOC_00024325
chr11	26789037	26789549	513	25	0.401629166026398	0.110715811073274	0.290913354953124	182.397237192742	Intron	TRUE	LOC_00022824
chr6	69244954	69245388	435	23	0.690871092673342	0.411587105967434	0.279283986705908	180.111105630523	Intron	TRUE	LOC_00008151
chr18	9527396	9527820	425	16	0.382934130981753	0.838258985470532	-0.455324854488779	-175.352873970665	Exon	TRUE	LOC_00020811
chr5	23963082	23963686	605	24	0.194398701205265	0.478650651151366	-0.284251949946101	-166.450063034614	Intergenic	TRUE	LOC_00015280
chr5	57453461	57453821	361	24	0.688915358753233	0.912861387446129	-0.223946028692896	-153.499936963437	Exon	TRUE	LOC_00015867
chr7	13130648	13131308	661	24	0.35415969230968	0.615733202902615	-0.261573510592935	-153.352059945161	Intergenic	FALSE	LOC_00002443
chr8	44947087	44947620	534	23	0.508787984503516	0.756434243194117	-0.247646258690601	-146.87080962761	Intron	TRUE	LOC_00024474
chr21	43589144	43590299	1156	22	0.807650235218809	0.494038115889061	0.313612119329749	146.600477762993	Intergenic	TRUE	LOC_00012941
chr2	60760143	60760780	638	21	0.133928060314509	0.40286912046664	-0.268941060152131	-144.552926841871	Intron	TRUE	LOC_00013945
chr17	8513119	8513694	576	17	0.425637845702487	0.0947863750930711	0.330851470609416	144.263681228118	Intergenic	FALSE	LOC_00019573
chr18	8990488	8990956	469	14	0.376260842536959	0.00920929127842312	0.367051551258536	142.737454829383	Intron	FALSE	LOC_00020798
chr13	12120706	12121097	392	18	0.519259491011804	0.182518551311162	0.336740939700642	142.232229658164	Exon	FALSE	LOC_00010031
chr3	78216285	78216718	434	25	0.53209344008847	0.728343670476838	-0.196250230388368	-136.192628813174	Intergenic	FALSE	LOC_00019079
chr9	24665157	24665620	464	17	0.283724507252207	0.647839707779765	-0.364115200527558	-133.649087267577	Exon	FALSE	LOC_00000369
chr18	40272994	40273544	551	20	0.176731675789687	0.446420948982769	-0.269689273193082	-129.189698087398	Exon	FALSE	LOC_00021156
chr14	22413501	22413937	437	18	0.0717910839573695	0.321040852712178	-0.249249768754809	-127.843564746449	Intergenic	TRUE	LOC_00009294
chr12	47775172	47775510	339	14	0.431287146848667	0.0300998786047257	0.401187268243941	125.474419368321	Exon	FALSE	LOC_00025855
chr13	38922847	38923398	552	20	0.276098573345187	0.0443908190441906	0.231707754300996	125.196023324855	Exon	TRUE	LOC_00010399
chr21	43587203	43588559	1357	19	0.825935047039394	0.54118109466764	0.284753952371754	123.129303704164	Intergenic	FALSE	LOC_00012941
chr15	54020064	54020832	769	22	0.550582536204367	0.285906403859577	0.26467613234479	120.250413933398	Intergenic	TRUE	LOC_00012273
chr13	54595440	54595916	477	25	0.559818916236547	0.318060091735925	0.241758824500621	120.001378389192	Intergenic	TRUE	LOC_00010689
chr1	123381697	123382249	553	17	0.523893123412552	0.229368273121623	0.294524850290928	117.713039429046	Intron	FALSE	LOC_00007190
chr30	25491125	25491581	457	20	0.262145163553372	0.52471078981064	-0.262565626257268	-116.535613350054	Intergenic	TRUE	LOC_00023700
