win_id	chr	win_start	n_cpgs	mean_delta	sd_delta	mean_ctrl_entropy	mean_ctrl_beta	z_score	p_value	fdr	region	nearest_gene
chr1:2715000	chr1	2715000	5	0.074119951411104	0.0352768326478707	0.484035389500322	0.877707631676739	4.6981896447048	0.00000262477658649587	0.00261727944356622	Intron	LOC_00005612
chr1:3999000	chr1	3999000	23	0.133105399781906	0.149131496518484	0.128374304013161	0.978741072167348	4.2804577644541	0.0000186509282016286	0.0114350449979903	Intron	LOC_00005641
chr1:4145000	chr1	4145000	6	0.153083624334844	0.0936694311877242	0.405685240089809	0.909588378610118	4.00319253401655	0.0000624934029933677	0.0265556666183139	Intron	LOC_00005644
chr1:4148000	chr1	4148000	7	0.149919035694806	0.101123408431106	0.256669407645376	0.95424239487701	3.92242005483133	0.0000876639852386603	0.0330701240585909	Intron	LOC_00005644
chr1:5940000	chr1	5940000	11	0.165175780372877	0.132957508368329	0.541421727309446	0.872325955992752	4.12030952350094	0.0000378363756479693	0.0188085053848433	Intron	LOC_00005664
chr1:7459000	chr1	7459000	21	0.142008325127559	0.145393598530865	0.37989814737038	0.90408783251612	4.47587724484852	0.00000760982009051857	0.00591916882869047	Exon	LOC_00005686
chr1:9262000	chr1	9262000	19	0.122486925565489	0.140125595634023	0.294086324675024	0.940796983630593	3.81021131813353	0.000138848058896286	0.0448365962450852	Exon	LOC_00005703
chr1:11755000	chr1	11755000	8	0.151280335233754	0.104023146206644	0.37131318595475	0.913056799915416	4.11336725737796	0.0000389929298140417	0.0192053773946429	Intron	LOC_00005735
chr1:12200000	chr1	12200000	28	0.0677776549502438	0.0891530995170911	0.00000000346619761090596	0	4.02280617088616	0.0000575088227534606	0.0250234655128218	Intron	LOC_00005746
chr1:15565000	chr1	15565000	17	0.134211853016105	0.126906864713738	0.215413294517655	0.961304867895825	4.36043903096575	0.0000129801746189119	0.00867948235216736	Intron	LOC_00005799
chr1:15939000	chr1	15939000	17	0.162236163499055	0.139760237432214	0.548833993358323	0.793499254901848	4.78617417007479	0.00000169990552497668	0.0018312732924918	Intron	LOC_00005805
chr1:17089000	chr1	17089000	19	0.0852861180670522	0.0967797557789128	0.400721357448275	0.87907362613531	3.84123277589589	0.000122417956406548	0.0413316960235918	Exon	LOC_00005811
chr1:18662000	chr1	18662000	12	0.211337549261316	0.193403647030779	0.31562256232027	0.917596367277796	3.78532027174685	0.000153510747080141	0.0476663598266446	Exon	LOC_00005820
chr1:19436000	chr1	19436000	5	0.102192511916025	0.0500399703569837	0.553567677605048	0.762255178898181	4.56653754599595	0.00000495846258650143	0.00431032173526264	Exon	LOC_00005843
chr1:19458000	chr1	19458000	16	0.132514891783637	0.133695209672309	0.205608228745327	0.957895073986398	3.96468630726368	0.0000734925286032889	0.0293721821090599	Intron	LOC_00005844
chr1:19966000	chr1	19966000	5	0.392204748777299	0.210291523496187	0.118703433545031	0.392857142857143	4.17038435398548	0.0000304086338333703	0.0160598162516854	Intron	XLOC_012518U_lncRNA
chr1:20461000	chr1	20461000	19	0.217396678233304	0.217160108350106	0.161871644425685	0.971160548907828	4.36364744095938	0.0000127911661493373	0.00860737490259405	Exon	LOC_00005862
chr1:20769000	chr1	20769000	27	0.0796524262455715	0.0917771468747152	0.00000000346619761090596	0	4.5096863620677	0.00000649235391353262	0.00526720565050568	Intergenic	LOC_00005863
chr1:20817000	chr1	20817000	5	0.343978441560613	0.0963926621664451	0.188348393180526	0.963988095238095	7.97943703220719	0.00000000000000147002214010568	0.0000000000105735913837415	Intergenic	LOC_00005863
chr1:24593000	chr1	24593000	16	0.244927441653608	0.257805574263578	0.0583768765776804	0.0112271167048055	3.80018845369412	0.000144586090288237	0.0459845749290646	Intergenic	LOC_00005912
chr1:24631000	chr1	24631000	21	0.240029110617875	0.264477035095528	0.298999267679724	0.9375093296837	4.15896816145887	0.0000319688451324793	0.0166715831405926	Intron	LOC_00005914
chr1:28440000	chr1	28440000	20	0.176975772769608	0.192171609112594	0.151025454601017	0.0298513986013986	4.11850491454794	0.0000381338438620814	0.0189006231220304	Intron	LOC_00005972
chr1:29449000	chr1	29449000	23	0.0592818353690113	0.065914940219764	0.00000000346619761090596	0	4.31322085516043	0.0000160893248487052	0.0101602277662497	Intergenic	LOC_00005977
chr1:29584000	chr1	29584000	18	0.100392247426195	0.112653040676253	0.308276339200572	0.910282246237137	3.7808853719783	0.000156271618524421	0.0480932123442201	Intron	LOC_00005980
chr1:29820000	chr1	29820000	33	0.134838212203695	0.122455884906617	0.0136661842164931	0.00228956228956229	6.32543350400842	0.0000000002525226343571	0.000000957816728176711	Intergenic	LOC_00005984
chr1:30116000	chr1	30116000	7	0.152702963831413	0.101300055369237	0.387098381402826	0.921596163539593	3.98829068047184	0.0000665510875508942	0.0276328970249466	Exon	LOC_00005986
chr1:31634000	chr1	31634000	26	0.0816848960498246	0.100775756678502	0.00000000346619761090596	0	4.13306625176358	0.0000357955489064997	0.0180595840794212	Intron	LOC_00006008
chr1:33740000	chr1	33740000	23	0.0925940553660497	0.115546556765558	0.627551504395446	0.822063180621122	3.84317371305894	0.000121453437523879	0.0411733228924224	Intron	LOC_00006046
chr1:34427000	chr1	34427000	13	0.172126445557441	0.16349644473239	0.522346694693985	0.864703432350513	3.79586679292338	0.000147128487006424	0.0463805058714604	Exon	LOC_00006060
chr1:34495000	chr1	34495000	8	0.161495031919803	0.0918533493818023	0.215030986178697	0.961519730804691	4.97289355116556	0.000000659608842341609	0.000883450276831521	Intron	LOC_00006061
chr1:36065000	chr1	36065000	7	0.0838899756460587	0.0496762166298199	0.889561966766793	0.642567108255025	4.46797337053044	0.00000789641327561075	0.00606348951867161	Intron	LOC_00006087
chr1:38473000	chr1	38473000	11	0.220418047386233	0.128837995486921	0.325629366330156	0.933278167871469	5.67413329771278	0.0000000139392563577381	0.0000341141898837579	Intron	LOC_00006126
chr1:39331000	chr1	39331000	29	0.0865523829797685	0.122349201725943	0.00861663413402478	0.0014367816091954	3.80957816006285	0.000139204096124233	0.0449023995280733	Intergenic	LOC_00006140
chr1:39920000	chr1	39920000	13	0.132191329272007	0.122399014228989	0.161572384842567	0.972060113799244	3.89400698089188	0.0000986018100316064	0.0358990017750906	Intron	LOC_00006152
chr1:40024000	chr1	40024000	8	0.173658856161075	0.115079284425522	0.26553293093978	0.949650017004409	4.26820015149006	0.0000197056480964392	0.0118901259913912	Intron	LOC_00006158
chr1:40025000	chr1	40025000	18	0.233310654251234	0.256328158726458	0.155064607537633	0.971261481406409	3.86166420178999	0.000112617284020139	0.0393733589783997	Intron	LOC_00006158
chr1:42064000	chr1	42064000	11	0.451777249962897	0.330045333129742	0.00000000346619761090596	0	4.53990854146244	0.00000562786345605621	0.00471836952231448	Intergenic	LOC_00006186
chr1:45296000	chr1	45296000	17	0.170564199431802	0.151214935957969	0.195862238024991	0.963482794438677	4.65069277549216	0.00000330821844777701	0.00314459625591069	Intron	LOC_00006224
chr1:45948000	chr1	45948000	37	0.0808858160119375	0.127872959836821	0.0291950870366313	0.00468731718731719	3.84764074826971	0.000119260763248118	0.040821151109139	Intergenic	LOC_00006232
chr1:46336000	chr1	46336000	6	0.189110785029284	0.0945733739695807	0.327860172899644	0.919195156695157	4.89804803123446	0.000000967933778140966	0.00116509695031064	Intron	LOC_00006236
chr1:46644000	chr1	46644000	11	0.170342273589547	0.124164929598281	0.00000000346619761090596	0	4.55008841273015	0.00000536233795968168	0.0045605814465304	Intron	LOC_00006241
chr1:47869000	chr1	47869000	7	0.22772620301031	0.121882927822472	0.456711514946487	0.874703940587399	4.94332480309193	0.000000768013691574675	0.000979421706885416	Intron	LOC_00006253
chr1:49045000	chr1	49045000	19	0.227546979591712	0.18269002210652	0.00000000346619761090596	0	5.42916508253455	0.000000056618295081078	0.000116966952472568	Intergenic	LOC_00006264
chr1:49644000	chr1	49644000	9	0.0679757603450498	0.0523476440056874	0.773079068129538	0.734222399129842	3.89563436728869	0.0000979420461488147	0.0357629469960636	Intron	LOC_00006276
chr1:50020000	chr1	50020000	10	0.185827711354606	0.137599330901658	0.506439419755358	0.871470071601631	4.27065172778254	0.0000194902569211382	0.0118071425655988	Intron	LOC_00006282
chr1:50103000	chr1	50103000	18	0.15544641577502	0.153683321595504	0.473975267629626	0.887021473392844	4.29131334088275	0.0000177619471633474	0.0109755714378078	Intron	LOC_00006282
chr1:50814000	chr1	50814000	13	0.104021816969545	0.087711110479045	0.00000000346619761090596	0	4.27603746893879	0.0000190249217362084	0.011598034730433	Intergenic	LOC_00006296
chr1:51011000	chr1	51011000	12	0.308570416034703	0.198657586753141	0.0968694351051816	0.014576655982906	5.38071207870767	0.0000000741917761116789	0.000146107140448472	Intergenic	LOC_00006298
chr1:51474000	chr1	51474000	21	0.140047423329125	0.136048086392238	0.366815009931946	0.904385379882947	4.71728735999225	0.00000239009994070158	0.0024347254595426	Intron	LOC_00006303
chr1:53475000	chr1	53475000	14	0.120244939492406	0.102747082340416	0.0916375132309886	0.0470885093167702	4.37886269688238	0.0000119300262029846	0.00821032409736372	Exon	LOC_00006327
chr1:54295000	chr1	54295000	16	0.127691275910273	0.115483477294761	0.320962442649846	0.929405488138334	4.42284139346974	0.00000974112531892167	0.00707455413153972	Exon	LOC_00006339
chr1:55784000	chr1	55784000	8	0.13544763798046	0.0859374451461894	0.458322854433417	0.867635582739428	4.45793766145867	0.00000827519581406194	0.00627351848417709	Intergenic	LOC_00006360
chr1:56717000	chr1	56717000	7	0.143325776715715	0.0999357275846767	0.40459195439808	0.690703409019416	3.79448242205122	0.000147951762524458	0.0465281274489107	Intron	LOC_00006371
chr1:56805000	chr1	56805000	22	0.141097870448357	0.173511580501734	0.223622112240896	0.95487968689291	3.81419887545711	0.00013662541398986	0.0443861766665196	Intron	LOC_00006373
chr1:56970000	chr1	56970000	8	0.17338754951551	0.119325768610899	0.459148968100906	0.856137267018712	4.10987545986061	0.0000395872563183708	0.0193767464255323	Intron	LOC_00006377
chr1:58142000	chr1	58142000	20	0.256132920842874	0.251028458889174	0.00000000346619761090596	0	4.56307324527769	0.00000504102179993706	0.00435276838543121	Intron	LOC_00006388
chr1:58474000	chr1	58474000	6	0.394978973182204	0.0670864086892149	0.00000000346619761090596	0	14.4216535409859	0.0000000000000000000000000000000000000000000000378172480271146	0.000000000000000000000000000000000000000000796607498839159	Intron	LOC_00006390
chr1:60750000	chr1	60750000	24	0.100482052861499	0.122306153887477	0.00835926683480249	0.00130208333333333	4.02481396062021	0.0000570203749981659	0.024912011768782	Intergenic	LOC_00006419
chr1:62342000	chr1	62342000	8	0.274893847835988	0.112305639963249	0.00000000346619761090596	0	6.92322501256033	0.00000000000441475681414251	0.0000000229415852328441	Intergenic	LOC_00006425
chr1:62874000	chr1	62874000	6	0.0672768396800891	0.0412028442872838	0.403375832367469	0.904168462256698	3.99957652375242	0.0000634559275609553	0.0267909608895425	Exon	LOC_00006428
