chr	pos	mu1	mu2	diff	diff.se	stat	phi1	phi2	pval	fdr	postprob.overThreshold	annotation	direction	nearest_gene	dist_to_gene
chr1	21381988	0.563579385306617	0.0721488961416908	0.491430489164926	0.0397121140446848	12.3748256920284	0.139955527717244	0.0966475713728352	0.000000000000000000000000000000000035766993967228	0.0000000000000000000000000000413581359858138	1	Intron	Hyper	LOC_00005872	0
chr11	45044964	0.510922762936908	0.0832084487359626	0.427714314200945	0.0351934623942306	12.1532320238847	0.989475163503282	0.148781260121676	0.000000000000000000000000000000000551417948372446	0.000000000000000000000000000549639808231975	1	Intron	Hyper	LOC_00023044	0
chr12	47775404	0.376198755955158	0.0305351427636603	0.345663613191498	0.0284456690934423	12.1517132205966	0.749375514597523	0.0562393925397944	0.000000000000000000000000000000000561759377899826	0.000000000000000000000000000549639808231975	1	Intron	Hyper	LOC_00025855	0
chr14	10731727	0.239346502505124	0.852869767411074	-0.61352326490595	0.0581563788280301	-10.5495437864203	0.112218982332106	0.164049417067101	0.0000000000000000000000000510443373063875	0.0000000000000000000216420061292021	1	Intergenic	Hypo	LOC_00009090	3234
chr14	10731742	0.239346502505124	0.852869767411074	-0.61352326490595	0.0578744486107154	-10.6009349485596	0.105393243569453	0.144999477460093	0.0000000000000000000000000295015984722951	0.0000000000000000000138980216601002	1	Intergenic	Hypo	LOC_00009090	3219
chr14	10731879	0.239346502505124	0.852869767411074	-0.61352326490595	0.0546664339429081	-11.2230343312076	0.0859718699306117	0.128264104009636	0.0000000000000000000000000000314297790149247	0.0000000000000000000000199886071396411	1	Intergenic	Hypo	LOC_00009090	3082
chr14	46273157	0.0298890431658391	0.426485098462366	-0.396596055296527	0.0311336761967221	-12.738491040717	0.0526876169882171	0.965169824839705	0.000000000000000000000000000000000000361315541902972	0.000000000000000000000000000000574470664995409	1	TE	Hypo	LOC_00009652	796
chr17	8513621	0.46890982283434	0.0576382778608517	0.411271544973488	0.0285496880112246	14.4054654752021	0.989475163503282	0.090390306338728	0.0000000000000000000000000000000000000000000000478085980130837	0.000000000000000000000000000000000000000304051543959875	1	Exon	Hyper	LOC_00019573	0
chr18	9527396	0.280698213592033	0.845637984568948	-0.564939770976915	0.0436723543967918	-12.9358670669337	0.0767605693163392	0.178021359634111	0.0000000000000000000000000000000000000282418754018973	0.0000000000000000000000000000000513176420568853	1	Exon	Hypo	LOC_00020811	0
chr18	9527513	0.314039856871244	0.842413097181321	-0.528373240310077	0.0424349530449636	-12.45136856285	0.0410447458736953	0.0449067155235011	0.0000000000000000000000000000000000137467531634902	0.0000000000000000000000000000166525994526306	1	Exon	Hypo	LOC_00020811	0
chr18	9527554	0.351580803546482	0.841158952454705	-0.489578148908223	0.0436200208706253	-11.2237027662203	0.0417750751109788	0.0542602047576955	0.0000000000000000000000000000311930427127464	0.0000000000000000000000199886071396411	1	Exon	Hypo	LOC_00020811	0
chr18	9527591	0.379000595485414	0.833356255437162	-0.454355659951749	0.0414981656595269	-10.9488131036809	0.0906973994801926	0.0463045769335221	0.000000000000000000000000000673239730690238	0.000000000000000000000407775983079301	1	Exon	Hypo	LOC_00020811	0
chr18	9527596	0.379000595485414	0.833356255437162	-0.454355659951749	0.0395471854662679	-11.4889505939505	0.0673876763802328	0.224877982633924	0.00000000000000000000000000000149922036534564	0.00000000000000000000000112172849473566	1	Exon	Hypo	LOC_00020811	0
chr18	9527598	0.379000595485414	0.833356255437162	-0.454355659951749	0.04234148951903	-10.7307434176954	0.0725819536485802	0.0526079389012726	0.00000000000000000000000000730064496222695	0.00000000000000000000403742616604236	1	Exon	Hypo	LOC_00020811	0
chr18	9527627	0.379000595485414	0.833356255437162	-0.454355659951749	0.0357541181039257	-12.707785397785	0.132599049167991	0.218487967418063	0.000000000000000000000000000000000000535289771038496	0.000000000000000000000000000000801016052067808	1	Exon	Hypo	LOC_00020811	0
chr18	9527644	0.379000595485414	0.833356255437162	-0.454355659951749	0.0415767913792326	-10.9281078428456	0.0519961484977739	0.0336435440870479	0.000000000000000000000000000845939334291278	0.000000000000000000000489088823838876	1	Exon	Hypo	LOC_00020811	0
chr18	9527676	0.395049166738179	0.841376482564794	-0.446327315826615	0.0403439535921839	-11.0630534711175	0.0618760788757872	0.0326587045823986	0.000000000000000000000000000189533227423549	0.000000000000000000000117598747821637	1	Exon	Hypo	LOC_00020811	0
chr18	38829894	0.376215556000584	0.7609524022812	-0.384736846280615	0.0329819842512425	-11.6650606388584	0.247619326975833	0.672190708125752	0.00000000000000000000000000000019226606357367	0.000000000000000000000000163035648844764	1	Promoter	Hypo	LOC_00021127	0
chr29	18454622	0.677262290592234	0.0353585074476083	0.641903783144626	0.0616776040552282	10.4074046483687	0.0600955183700915	0.0340499088357086	0.00000000000000000000000022939018795011	0.0000000000000000000911792592155567	1	TE	Hyper	LOC_00019304	2296
chr29	18454628	0.677262290592234	0.0353585074476083	0.641903783144626	0.0631138616859375	10.170567384053	0.0402954355421043	0.050121014947275	0.00000000000000000000000268340963290942	0.000000000000000000875172309274842	1	TE	Hyper	LOC_00019304	2290
chr31	16770063	0.0330101961594298	0.524608670579368	-0.491598474419938	0.0437129154723536	-11.246069247677	0.0572546640162134	0.989475163503282	0.0000000000000000000000000000242144549432185	0.0000000000000000000000162103464706176	1	Intergenic	Hypo	LOC_00010953	122251
chr5	22399323	0.0470538274034539	0.341748589753302	-0.294694762349848	0.0226371765949009	-13.0181765872794	0.0601410450885777	0.879917519355912	0.00000000000000000000000000000000000000964465455276083	0.0000000000000000000000000000000188731556157071	1	Intron	Hypo	LOC_00015242	0
chr5	22399388	0.0547080054089848	0.380038028397756	-0.325330022988771	0.0219197333284643	-14.8418786904815	0.162520425247347	0.989475163503282	0.0000000000000000000000000000000000000000000000000785256079037768	0.00000000000000000000000000000000000000000199761827920552	1	Intron	Hypo	LOC_00015242	0
chr5	42845589	0.348257594645716	0.0134650754193933	0.334792519226323	0.0275786909760341	12.1395362643302	0.808097792927667	0.0493272881374739	0.000000000000000000000000000000000651944719472287	0.000000000000000000000000000614254298181349	1	Intergenic	Hyper	LOC_00015609	568
chr5	42845660	0.348257594645716	0.0134650754193933	0.334792519226323	0.0273561362283036	12.2382969741149	0.840647270272077	0.0500955867167933	0.000000000000000000000000000000000194061816081331	0.000000000000000000000000000205697988979019	1	TE	Hyper	LOC_00015609	639
chr5	42845922	0.520285363452016	0.0136409496869899	0.506644413765026	0.0352596740792209	14.3689477284079	0.989475163503282	0.0522687903523767	0.000000000000000000000000000000000000000000000081053394121614	0.000000000000000000000000000000000000000412384560938108	1	TE	Hyper	LOC_00015609	901
chr7	44503268	0.455753787572368	0.050352072330998	0.40540171524137	0.0311290433011544	13.0232629162213	0.989475163503282	0.0861444097305911	0.00000000000000000000000000000000000000902311853781601	0.0000000000000000000000000000000188731556157071	1	Intron	Hyper	LOC_00002876	0
chr7	53985808	0.454792748221798	0.0315371283759845	0.423255619845814	0.0375214198393462	11.2803732283599	0.989475163503282	0.143859218181387	0.0000000000000000000000000000164048496845601	0.0000000000000000000000112790293690622	1	Intergenic	Hyper	LOC_00003016	1389
chr8	35117190	0.670167083975327	0.142800824883094	0.527366259092233	0.0418096792346163	12.6134968922603	0.124278231103397	0.0396735805869364	0.00000000000000000000000000000000000177919877323395	0.00000000000000000000000000000251450880987861	1	TE	Hyper	LOC_00024325	47
chr8	35117202	0.662084433543448	0.132187092658107	0.529897340885341	0.0391280007908288	13.5426633146446	0.122428606890976	0.054206089027097	0.00000000000000000000000000000000000000000875559324935258	0.0000000000000000000000000000000000278417665063277	1	TE	Hyper	LOC_00024325	35
chr8	35117208	0.662084433543448	0.132187092658107	0.529897340885341	0.0396443583584646	13.3662736093243	0.0727918788150707	0.118199155067991	0.0000000000000000000000000000000000000000951916044149531	0.000000000000000000000000000000000269065077526788	1	TE	Hyper	LOC_00024325	29
chr8	35117226	0.654038215348248	0.122117404596	0.531920810752248	0.037214022589962	14.2935585495056	0.0998981914938845	0.112938821451589	0.000000000000000000000000000000000000000000000240024258332711	0.000000000000000000000000000000000000000872284775625057	1	TE	Hyper	LOC_00024325	11
chr8	35117232	0.654038215348248	0.122117404596	0.531920810752248	0.036128033621213	14.723215116804	0.0332942871861674	0.294327648345537	0.000000000000000000000000000000000000000000000000457387112185987	0.00000000000000000000000000000000000000000581775092461148	1	TE	Hyper	LOC_00024325	5
chr8	35117255	0.620783888307518	0.0892762833225593	0.531507604984958	0.0371640425334305	14.3016628104127	0.0324970402601261	0.169774420863483	0.000000000000000000000000000000000000000000000213643132050355	0.000000000000000000000000000000000000000872284775625057	1	Exon	Hyper	LOC_00024325	0
chr8	35117265	0.620783888307518	0.0892762833225593	0.531507604984958	0.0361760352633546	14.6922569351695	0.050493207159713	0.0625649078452711	0.000000000000000000000000000000000000000000000000722661362389509	0.00000000000000000000000000000000000000000612794384626645	1	Exon	Hyper	LOC_00024325	0
chr8	35117297	0.595692949908087	0.08408881225449	0.511604137653597	0.0401494491276773	12.7424945738774	0.0477997618835722	0.0737026563924935	0.000000000000000000000000000000000000343241468466798	0.000000000000000000000000000000574470664995409	1	Exon	Hyper	LOC_00024325	0
chr8	35117404	0.560713811626713	0.0523463674485526	0.508367444178161	0.0384480848563226	13.222178583872	0.11136103146922	0.0644280627666919	0.00000000000000000000000000000000000000065343514779504	0.00000000000000000000000000000000166227811583481	1	Exon	Hyper	LOC_00024325	0
chr8	35117412	0.560713811626713	0.0523463674485526	0.508367444178161	0.0429892188192806	11.8254636427624	0.0456489337060408	0.0656178747311367	0.0000000000000000000000000000000288306480329637	0.00000000000000000000000002529051088947	1	Exon	Hyper	LOC_00024325	0
chr8	35117419	0.560713811626713	0.0523463674485526	0.508367444178161	0.0405921166542586	12.5237973793817	0.0725261459938763	0.068040455862349	0.00000000000000000000000000000000000553235638882577	0.00000000000000000000000000000740726265134596	1	Exon	Hyper	LOC_00024325	0
chr8	35117445	0.533160604914844	0.0455634167832935	0.48759718813155	0.0369647525708777	13.1908684414054	0.130822188831569	0.0632950670148152	0.000000000000000000000000000000000000000990377114311587	0.00000000000000000000000000000000229038825060147	1	Exon	Hyper	LOC_00024325	0
chr8	35117464	0.484641448489804	0.0183587096909666	0.466282738798837	0.0385655879268713	12.0906425615243	0.0944746728616282	0.0504465155553083	0.00000000000000000000000000000000118357396014467	0.00000000000000000000000000107532208768391	1	Exon	Hyper	LOC_00024325	0
chr9	35232490	0.385992345119183	0.00959246136584673	0.376399883753336	0.0328560335462547	11.4560354104655	0.729051446130872	0.0483929753374013	0.00000000000000000000000000000219326533869736	0.00000000000000000000000159413217409044	1	Intergenic	Hyper	LOC_00000487	917
chr14	10731832	0.239346502505124	0.852869767411074	-0.61352326490595	0.0619581715209586	-9.90221709009623	0.0597542030583122	0.0607816365754039	0.0000000000000000000000407147278374844	0.0000000000000000124788521693886	1	Intergenic	Hypo	LOC_00009090	3129
chr18	8990710	0.442961107414384	0.00633449410205983	0.436626613312325	0.0408743517452804	10.6821660691595	0.138473661484781	0.045839210881239	0.0000000000000000000000000123359180200778	0.00000000000000000000640437259908539	1	Intron	Hyper	LOC_00020798	0
chr18	9527571	0.379000595485414	0.833356255437162	-0.454355659951749	0.0429229150548887	-10.5853868352308	0.0588272436662315	0.0368366365304398	0.0000000000000000000000000348338912336499	0.0000000000000000000155463461017092	1	Exon	Hypo	LOC_00020811	0
chr18	9527574	0.379000595485414	0.833356255437162	-0.454355659951749	0.0432711869580712	-10.5001894307177	0.0501722373528645	0.0348473842620319	0.0000000000000000000000000862069552985052	0.0000000000000000000348099142525656	1	Exon	Hypo	LOC_00020811	0
chr18	9527663	0.395049166738179	0.841376482564794	-0.446327315826615	0.0419143080524127	-10.6485669587697	0.0553035685866844	0.039936504274324	0.0000000000000000000000000177069850891439	0.00000000000000000000900898395515436	1	Exon	Hypo	LOC_00020811	0
chr10	47385340	0.0608705114631222	0.491986872942309	-0.431116361479187	0.0408092682667455	-10.5641776927055	0.0860811857694267	0.989475163503282	0.0000000000000000000000000436779820989658	0.0000000000000000000188326636731928	1	Intron	Hypo	LOC_00017430	0
chr11	45044685	0.505480307095454	0.101722180169879	0.403758126925576	0.0374601354895582	10.7783413393719	0.385831872153421	0.187638211302058	0.00000000000000000000000000435670657198359	0.00000000000000000000246290121646083	1	Intron	Hyper	LOC_00023044	0
chr13	3251332	0.38160031155436	0.85685033507072	-0.47525002351636	0.0460853176635425	-10.3123955222799	0.33212950749545	0.187116311039146	0.000000000000000000000000619378748904265	0.000000000000000000225091687301865	1	Intron	Hypo	LOC_00009898	0
chr14	10731736	0.239346502505124	0.852869767411074	-0.61352326490595	0.063352713103774	-9.68424610167803	0.0931719115381653	0.0346360966651786	0.000000000000000000000351794339658442	0.000000000000000095205533282832	1	Intergenic	Hypo	LOC_00009090	3225
chr8	35117484	0.450718924307232	0.0162549676653742	0.434463956641858	0.0412047948662684	10.5440145510232	0.0813158851324279	0.0488633131093656	0.0000000000000000000000000541374113177761	0.0000000000000000000225771358665062	1	Exon	Hyper	LOC_00024325	0
chr21	46024203	0.369495371846879	0.0427235078265153	0.326771864020364	0.0280464272957566	11.6511048118348	0.847034959878131	0.088465376994721	0.000000000000000000000000000000226503056732088	0.000000000000000000000000185871827819853	1	Intergenic	Hyper	LOC_00012974	841
