nearest_gene	chr	start	end	length	nCG	meanMethy1	meanMethy2	diff.Methy	areaStat	annotation	direction	gene_name
LOC_00024325	chr8	35116998	35117692	695	21	0.588060721022414	0.145922582102692	0.442138138919723	237.888550753251	Exon	Hyper	LTA4H
LOC_00022824	chr11	26789037	26789549	513	25	0.401629166026398	0.110715811073274	0.290913354953124	182.397237192457	Intron	Hyper	MGAT4A
LOC_00008151	chr6	69244954	69245388	435	23	0.690871092673342	0.411587105967434	0.279283986705908	180.111105630522	Intron	Hyper	
LOC_00020811	chr18	9527396	9527820	425	16	0.382934130981503	0.838258985470314	-0.455324854488811	-175.352873970654	Exon	Hypo	CASP3
LOC_00015280	chr5	23963082	23963686	605	24	0.194398701205265	0.478650651151366	-0.284251949946101	-166.450063034614	Intergenic	Hypo	ANK1
LOC_00015867	chr5	57453461	57453821	361	24	0.688915358753233	0.912861387446129	-0.223946028692896	-153.499936963427	Exon	Hypo	mlec-b
LOC_00002443	chr7	13130648	13131308	661	24	0.35415969230968	0.615733202902615	-0.261573510592935	-153.352059945161	Intergenic	Hypo	ABCA2
LOC_00024474	chr8	44947087	44947620	534	23	0.508787984503516	0.756434243193693	-0.247646258690177	-146.870809627297	Intron	Hypo	ZNF277
LOC_00012941	chr21	43589144	43590299	1156	22	0.807650235218809	0.494038115889061	0.313612119329749	146.600477762992	Intergenic	Hyper	
LOC_00013945	chr2	60760143	60760780	638	21	0.133928060314509	0.40286912046664	-0.268941060152131	-144.552926841872	Intron	Hypo	
LOC_00019573	chr17	8513119	8513694	576	17	0.425637845702587	0.0947863750930711	0.330851470609516	144.263681228161	Intergenic	Hyper	
LOC_00020798	chr18	8990488	8990956	469	14	0.376260842536959	0.00920929127842312	0.367051551258536	142.737454829381	Intron	Hyper	KCNAB2
LOC_00010031	chr13	12120706	12121097	392	18	0.519259491011804	0.182518551311308	0.336740939700496	142.232229658083	Exon	Hyper	Mafb
LOC_00019079	chr3	78216285	78216718	434	25	0.532093440089525	0.728343670476838	-0.196250230387313	-136.192628812248	Intergenic	Hypo	TXNL4B
LOC_00000369	chr9	24665157	24665620	464	17	0.283724507252207	0.647839707779765	-0.364115200527558	-133.649087267463	Exon	Hypo	Pawr
LOC_00021156	chr18	40272994	40273544	551	20	0.176731675789687	0.446420948983894	-0.269689273194207	-129.189698087923	Exon	Hypo	MIMI_R571
