chr	window	sample	mean_beta	n_cpgs	condition
chr1	500000	C1	9.79521201495422	3431	Control
chr1	1500000	C1	54.6186974072414	11195	Control
chr1	2500000	C1	14.2132660533234	4684	Control
chr1	3500000	C1	32.0711296101218	10053	Control
chr1	4500000	C1	17.6718162230849	12137	Control
chr1	5500000	C1	10.0433257871152	8885	Control
chr1	6500000	C1	12.0272800922048	15421	Control
chr1	7500000	C1	14.3362431864366	11037	Control
chr1	8500000	C1	1.45664405127627	8655	Control
chr1	9500000	C1	2.15341431303182	12047	Control
chr1	10500000	C1	4.49585557162055	15354	Control
chr1	11500000	C1	20.5301284700299	18111	Control
chr1	12500000	C1	14.8976203876924	17119	Control
chr1	13500000	C1	7.9378294340066	15641	Control
chr1	14500000	C1	2.75777489279277	20292	Control
chr1	15500000	C1	30.3947324264927	19635	Control
chr1	16500000	C1	5.57163689127504	10731	Control
chr1	17500000	C1	8.19041194447753	17492	Control
chr1	18500000	C1	23.63639185726	14103	Control
chr1	19500000	C1	45.5586081013039	15757	Control
chr1	20500000	C1	27.5537114633907	9449	Control
chr1	21500000	C1	21.5575974997542	17101	Control
chr1	22500000	C1	8.34011361856696	17990	Control
chr1	23500000	C1	27.2579869932552	14065	Control
chr1	24500000	C1	12.1969728032987	20895	Control
chr1	25500000	C1	8.84649542363512	19697	Control
chr1	26500000	C1	8.91820723624354	20566	Control
chr1	27500000	C1	30.9169816205277	17965	Control
chr1	28500000	C1	2.41179545266932	18869	Control
chr1	29500000	C1	17.1839353628504	18696	Control
chr1	30500000	C1	16.2581736334075	16853	Control
chr1	31500000	C1	7.24679629281808	19778	Control
chr1	32500000	C1	18.8041998052666	17235	Control
chr1	33500000	C1	37.221402893721	15724	Control
chr1	34500000	C1	26.5047278890617	15229	Control
chr1	35500000	C1	21.1287067610038	13701	Control
chr1	36500000	C1	7.00563368382638	21512	Control
chr1	37500000	C1	13.2329382351145	18143	Control
chr1	38500000	C1	36.4452638181238	14499	Control
chr1	39500000	C1	27.9650755397436	16884	Control
chr1	40500000	C1	24.977769329783	16696	Control
chr1	41500000	C1	6.09527292763874	15873	Control
chr1	42500000	C1	4.08782701399191	19621	Control
chr1	43500000	C1	35.8488150070167	17022	Control
chr1	44500000	C1	6.63600736543989	16448	Control
chr1	45500000	C1	27.686640267977	16407	Control
chr1	46500000	C1	20.7936224893554	18976	Control
chr1	47500000	C1	17.6025473568704	16256	Control
chr1	48500000	C1	19.6341016899087	17222	Control
chr1	49500000	C1	21.9062873416603	18656	Control
chr1	50500000	C1	11.0539268630771	19244	Control
chr1	51500000	C1	14.9994928273118	18525	Control
chr1	52500000	C1	0.730578839316363	21802	Control
chr1	53500000	C1	13.8701183858218	19388	Control
chr1	54500000	C1	16.7858831116876	19737	Control
chr1	55500000	C1	15.5146198992475	17262	Control
chr1	56500000	C1	21.7521862086448	13761	Control
