gene_id	chr	tss	width	n_C	n_G	n_CpG	gc_pct	cpg_oe	weber_class
LOC_00005583	chr1	337366	2001	543	522	97	53.2233883058471	0.684775936157152	ICP
XLOC_013414U_lncRNA	chr1	642088	2001	716	379	16	54.7226386806597	0.117981751448239	LCP
LOC_00005584	chr1	677754	2001	453	443	51	44.7776111944028	0.50852854558773	ICP
LOC_00005585	chr1	862223	2001	576	437	49	50.6246876561719	0.38952850877193	LCP
LOC_00005586	chr1	900586	2001	531	472	108	50.1249375312344	0.862252226371732	ICP
LOC_00005587	chr1	1014455	2001	447	363	62	40.47976011994	0.764582986669625	ICP
LOC_00005588	chr1	1036604	2001	462	439	47	45.0274862568716	0.463701446617164	LCP
LOC_00005589	chr1	1044628	2001	372	505	65	43.8280859570215	0.692350686681571	ICP
LOC_00005590	chr1	1140199	2001	533	413	83	47.2763618190905	0.754480327444362	ICP
LOC_00005591	chr1	1145797	2001	417	415	80	41.5792103948026	0.925023836352605	ICP
LOC_00005592	chr1	1186140	2001	381	466	76	42.3288355822089	0.856544219526207	ICP
LOC_00005593	chr1	1235409	2001	627	371	50	49.8750624687656	0.430106140135932	LCP
LOC_00005594	chr1	1293379	2001	459	322	54	39.0304847576212	0.73109243697479	ICP
LOC_00005595	chr1	1298110	2001	372	398	38	38.4807596201899	0.513575944237316	ICP
LOC_00005596	chr1	1485337	2001	361	398	49	37.9310344827586	0.682421804312421	ICP
LOC_00005597	chr1	1560520	2001	535	409	118	47.176411794103	1.07907593172315	ICP
LOC_00005598	chr1	1601750	2001	351	387	59	36.8815592203898	0.869122551293094	ICP
XLOC_013424U_lncRNA	chr1	1629533	2001	407	376	66	39.1304347826087	0.862995974698102	ICP
LOC_00005599	chr1	1666374	2001	347	330	31	33.8330834582709	0.541708147760021	ICP
XLOC_012352U_lncRNA	chr1	1682308	2001	646	391	50	51.824087956022	0.396102713531233	LCP
LOC_00005600	chr1	1734169	2001	463	378	62	42.0289855072464	0.708869004765333	ICP
LOC_00005601	chr1	1744882	2001	466	419	73	44.2278860569715	0.748117836254315	ICP
LOC_00005602	chr1	1860674	2001	412	353	48	38.2308845577211	0.660414202810858	ICP
LOC_00005603	chr1	1860334	2001	369	346	41	35.7321339330335	0.642581888246628	ICP
XLOC_013428U_lncRNA	chr1	1901276	2001	388	349	55	36.8315842078961	0.812741854488524	ICP
LOC_00005604	chr1	1907623	2001	349	411	46	37.9810094952524	0.641708322004476	ICP
LOC_00005605	chr1	1947090	2001	489	480	128	48.4257871064468	1.09120654396728	ICP
LOC_00005606	chr1	1960110	2001	363	380	43	37.1314342828586	0.623771204871683	ICP
LOC_00005607	chr1	1989973	2001	332	361	55	34.6326836581709	0.918257517605046	ICP
LOC_00005608	chr1	2423598	2001	424	428	67	42.5787106446777	0.738775127843414	ICP
XLOC_012359U_lncRNA	chr1	2453348	2001	318	357	28	33.7331334332834	0.493525712171661	ICP
LOC_00005609	chr1	2573018	2001	565	289	18	42.6786606696652	0.220583642098172	LCP
LOC_00005610	chr1	2673214	2001	432	424	51	42.7786106946527	0.557144261006289	ICP
LOC_00005611	chr1	2696592	2001	467	415	81	44.0779610194903	0.836309692732386	ICP
LOC_00005612	chr1	2732859	2001	389	356	47	37.2313843078461	0.679118165275411	ICP
XLOC_012361U_lncRNA	chr1	2703250	2001	502	338	32	41.9790104947526	0.377378061717627	LCP
LOC_00005613	chr1	2818737	2001	532	433	103	48.2258870564718	0.89471513657122	ICP
LOC_00005614	chr1	2810566	2001	439	333	54	38.5807096451774	0.739149171950994	ICP
LOC_00005615	chr1	2876721	2001	513	273	52	39.28035982009	0.742968532442217	ICP
LOC_00005616	chr1	2888274	2001	527	611	133	56.8715642178911	0.826507700382302	HCP
LOC_00005617	chr1	2903815	2001	483	575	101	52.8735632183908	0.727701863354037	ICP
LOC_00005618	chr1	3074996	2001	516	610	91	56.271864067966	0.578507434235608	ICP
LOC_00005619	chr1	3146160	2001	394	687	53	54.0229885057471	0.391805022942389	LCP
LOC_00005620	chr1	3131558	2001	491	484	118	48.7256371814093	0.993578630219993	ICP
LOC_00005621	chr1	3135465	2001	481	519	118	49.9750124937531	0.945837789768426	ICP
LOC_00005622	chr1	3136311	2001	476	531	109	50.3248375812094	0.862923135355837	ICP
LOC_00005623	chr1	3198250	2001	401	369	47	38.4807596201899	0.635585832167549	ICP
LOC_00005624	chr1	3198521	2001	388	393	47	39.0304847576212	0.616766349256316	ICP
LOC_00005625	chr1	3225720	2001	375	420	18	39.7301349325337	0.228685714285714	LCP
LOC_00005626	chr1	3261688	2001	414	430	20	42.1789105447276	0.224806201550388	LCP
LOC_00005627	chr1	3280841	2001	358	404	50	38.0809595202399	0.691755628076774	ICP
LOC_00005628	chr1	3302146	2001	439	516	93	47.7261369315342	0.821515600995921	ICP
LOC_00005629	chr1	3332526	2001	477	381	70	42.8785607196402	0.770729130556794	ICP
LOC_00005630	chr1	3332583	2001	478	383	69	43.0284857571214	0.754170444738193	ICP
LOC_00005632	chr1	3372339	2001	343	424	58	38.3308345827087	0.798022443478739	ICP
LOC_00005631	chr1	3346746	2001	418	420	45	41.8790604697651	0.512901572112098	ICP
LOC_00005633	chr1	3377135	2001	335	569	39	45.1774112943528	0.409406395089578	LCP
LOC_00005634	chr1	3410602	2001	394	439	31	41.6291854072964	0.358631176069285	LCP
LOC_00005635	chr1	3676184	2001	477	436	65	45.6271864067966	0.625396688015694	ICP
LOC_00005636	chr1	3696144	2001	540	480	101	50.9745127436282	0.779710648148148	ICP
LOC_00005637	chr1	3843701	2001	523	373	76	44.7776111944028	0.779561100887333	ICP
LOC_00005638	chr1	3889512	2001	412	346	46	37.8810594702649	0.645701217801223	ICP
LOC_00005639	chr1	3889999	2001	405	362	37	38.3308345827087	0.50499283814201	ICP
LOC_00005640	chr1	3928696	2001	392	378	70	38.4807596201899	0.945294784580499	ICP
LOC_00005641	chr1	3971225	2001	372	333	42	35.232383808096	0.678436501017146	ICP
LOC_00005642	chr1	4016170	2001	406	347	28	37.6311844077961	0.397694524495677	LCP
LOC_00005643	chr1	4031200	2001	448	500	77	47.376311844078	0.68784375	ICP
LOC_00005644	chr1	4112371	2001	424	490	68	45.6771614192904	0.654928763958414	ICP
LOC_00005645	chr1	4232023	2001	366	416	53	39.0804597701149	0.696543978562421	ICP
LOC_00005646	chr1	4315679	2001	379	391	55	38.4807596201899	0.742666459723731	ICP
LOC_00005647	chr1	4380447	2001	369	368	55	36.8315842078961	0.810467479674797	ICP
LOC_00005648	chr1	4394332	2001	391	436	64	41.3293353323338	0.751214247166757	ICP
XLOC_012386U_lncRNA	chr1	4403841	2001	434	376	61	40.47976011994	0.747996127071282	ICP
LOC_00005649	chr1	4427180	2001	330	543	84	43.6281859070465	0.938021094927172	ICP
LOC_00005650	chr1	4475103	2001	455	379	75	41.6791604197901	0.870277479776161	ICP
LOC_00005651	chr1	4514669	2001	432	499	87	46.5267366316842	0.807573480293921	ICP
LOC_00005652	chr1	4552799	2001	437	408	84	42.2288855572214	0.942724458204334	ICP
