chr	pos	mu1	mu2	diff	diff.se	stat	phi1	phi2	pval	fdr	postprob.overThreshold	annotation	direction	nearest_gene	dist_to_gene
chr3	55076996	0.0207819610306319	0.763175877634695	-0.742393916604063	0.0994258580524487	-7.46680925008903	0.0498433101675126	0.0309462493144067	0.0000000000000821627369962541	0.0000000164325473992508	0.999999999948005	Intron	Hypo	LOC_00018826	0
chr14	22413731	0.0865572635811265	0.845359238969833	-0.758801975388707	0.108039523017488	-7.02337398570229	0.043334021343514	0.0324110979535657	0.00000000000216573482648583	0.000000216573482648583	0.999999999462266	TE	Hypo	LOC_00009294	235
chr1	126952736	0.893477105560706	0.118866401559094	0.774610704001612	0.12773222124039	6.06433284005769	0.0405193044592332	0.0417963770891605	0.00000000132502505203284	0.0000883350034688559	0.999999935919292	Promoter	Hyper	LOC_00007241	507
chr15	8831584	0.0920374517148175	0.777083031440198	-0.68504557972538	0.114998587566643	-5.95699124850891	0.0328416935292685	0.0322887103134257	0.00000000256923995365932	0.000128461997682966	0.999999818516194	Intergenic	Hypo	LOC_00011735	40295
chr3	55275802	0.0806942293552089	0.732136623556854	-0.651442394201645	0.11021865678457	-5.91045484681358	0.0336085603356783	0.0308592417061017	0.0000000034116436327942	0.000136465745311768	0.999999718025037	Intron	Hypo	LOC_00018832	0
chr14	46273223	0.0795778490003777	0.747468150636564	-0.667890301636187	0.113594619933969	-5.87959449157385	0.0523507566639039	0.0330717532090651	0.0000000041127277001016	0.00013709092333672	0.999999712269699	TE	Hypo	LOC_00009652	730
chr16	49155324	0.0259498665658103	0.691125131283769	-0.665175264717959	0.115262925814781	-5.77093857383809	0.0479774722574139	0.0369881657771221	0.00000000788312092812695	0.000225232026517913	0.999999528952974	TE	Hypo	LOC_00005463	9101
chr23	40797288	0.909340827193007	0.250282743993374	0.659058083199633	0.116432620501851	5.66042471911172	0.0326540297825093	0.0348594216687706	0.0000000150998817425073	0.00035122561182751	0.99999921285932	Exon	Hyper	LOC_00011663	0
chr2	1231974	0.657882849731166	0.0167417889827257	0.64114106074844	0.113424376466639	5.65258616111516	0.0334365401142926	0.0499402359446197	0.000000015805152532238	0.00035122561182751	0.999999083197832	Intron	Hyper	LOC_00013107	0
chr1	72012898	0.696548264981621	0.0486658892881589	0.647882375693462	0.115293115586389	5.61943679289334	0.0381419261646558	0.0357741927357104	0.0000000191580950183259	0.000383161900366517	0.999998993381989	TE	Hyper	LOC_00006557	1384
